dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Oil tanker,868,217,2010,2010,2009,2009,26619222801,46551178434,535,1031,1132,1150,4079,314648
Bulk carrier,3835,961,2005,2011,2010,2010,149484116141,270532263811,552,1243,1272,1321,12073,934384
Vehicle,1239,240,2007,2007,2008,2007,55190243895,19496833049,572,658,755,763,3408,264022
General cargo,1506,235,2002,2008,2003,2003,15419814381,20525651426,510,919,796,767,2801,214606
Service - tug,1402,104,2009,2007,2012,2011,1935106086,1225534670,233,1614,724,754,1459,109629
Ro-Ro,3312,27,2008,2008,2004,2002,6369989507,3561282415,225,466,237,243,2867,214108
Container,2851,278,2007,2007,2006,2007,111204410225,127213757529,585,615,784,776,14071,1089503
Cruise,1045,56,1998,2000,2000,1999,32447985965,3394998794,525,522,598,593,7663,592563
Chemical tanker,1103,165,2012,2011,2012,2012,17323549410,28531662370,599,623,850,848,3194,245969
Service - other,489,37,2009,2007,2008,2003,1177443359,774303433,607,2742,1289,1329,801,60252
Liquefied gas tanker,398,63,2009,2012,2012,2012,36040576279,29607424176,547,2748,2553,2417,4147,261979
Offshore,559,41,2010,2009,2010,2009,1807916702,1757533769,238,1230,569,585,931,69990
Miscellaneous - fishing,41,2,1997,1998,2011,2013,35269404,33483550,160,169,442,445,35,2611
Ferry-pax only,78,4,1993,1970,1990,1976,21991197,8392512,880,1444,1188,1342,45,3373
Ferry-RoPax,847,4,1998,1989,1998,1998,6139907047,1129664427,239,323,248,247,1906,146851
