,exp_code_str3,exp_name,HS2,description,USD,tonne
0,120,Cameroon,27," Anthracite, not agglomerated",1164174393.479,2732950.759359
1,120,Cameroon,44, Fuel wood,370790819.319,604107.216707
2,120,Cameroon,18," Cocoa beans, whole or broken, raw or roasted",198751903.177,71425.165957
3,120,Cameroon,08," Coconuts, fresh or dried",55926384.312,77423.891169
4,120,Cameroon,76," Aluminium unwrought, not alloyed",41105435.555999994,18488.147136
5,120,Cameroon,40," Natural rubber latex, including prevulcanised",37978208.402,31709.804658
6,120,Cameroon,09," Coffee, not roasted, not decaffeinated",15946607.541,7139.573564
7,120,Cameroon,71," Pearls natural, not permanently mounted or set",7252130.279,11.407449999999999
8,120,Cameroon,20," Cucumbers,gherkins, prepared or preserved by vinegar",6765139.209999999,6017.2422879999995
9,120,Cameroon,70," Glass cullet, waste or scrap, glass in the mass",5522054.533,7657.530517
10,120,Cameroon,24," Tobacco, unmanufactured, not stemmed or stripped",4977348.515000001,295.590797
11,120,Cameroon,84, Nuclear reactors,4544277.754,1028.645837
12,120,Cameroon,52," Cotton, not carded or combed",4425282.867,2142.49521
13,120,Cameroon,15," Lard, other pig fat and poultry fat, rendered",3539697.367,2757.599854
14,120,Cameroon,85, Electric motors of an output < 37.5 watts,2594647.6520000002,336.398849
15,120,Cameroon,74, Copper mattes,2088246.313,352.46029100000004
16,120,Cameroon,78, Lead refined unwrought,1886697.473,1107.9317310000001
17,120,Cameroon,12, Soya beans,1450206.279,507.318932
18,120,Cameroon,11, Wheat or meslin flour,1262599.187,5057.051086
19,120,Cameroon,94," Seats, aircraft",1253475.503,438.227468
20,120,Cameroon,07," Potatoes seed, fresh or chilled",1076092.291,1026.75663
21,120,Cameroon,87, Pedestrian controlled tractors,864504.1610000001,229.02876
22,120,Cameroon,22, Mineral and aerated waters not sweetened or flavoured,843726.3200000001,1803.706225
23,120,Cameroon,73, Sheet piling of iron or steel,783626.311,536.27859
24,120,Cameroon,39, Polyethylene - specific gravity <0.94 in primary form,728703.922,854.9295079999999
25,120,Cameroon,13, Lac,607027.164,568.07786
26,120,Cameroon,72," Pig iron, non-alloy, <0.5% phosphorus",507265.49100000004,1040.7663180000002
27,120,Cameroon,95," Rideable wheeled toys, dolls carriages",472721.805,78.767977
28,120,Cameroon,03," Ornamental fish, live",385410.952,82.490772
29,120,Cameroon,19," Infant foods of cereals, flour, starch or milk, retai",341561.35599999997,457.020141
30,120,Cameroon,10, Durum wheat,339986.596,420.878565
31,120,Cameroon,33, Essential oils of bergamot,306059.304,600.458135
32,120,Cameroon,48, Newsprint,289079.613,206.994825
33,120,Cameroon,21," Coffee extracts, essences, concentrates, preparations",261893.635,241.749132
34,120,Cameroon,05," Hair, human, unworked, waste of human hair",254051.22199999998,223.86277600000003
35,120,Cameroon,83, Padlocks of base metal,234295.403,57.414924
36,120,Cameroon,29, Saturated acyclic hydrocarbons,234143.326,154.58962699999998
37,120,Cameroon,68," Stone setts, curbstones, flagstones (except slate)",198257.625,269.511248
38,120,Cameroon,17," Raw sugar, cane",191151.145,426.51122
39,120,Cameroon,28, Chlorine,183040.692,202.465375
40,120,Cameroon,25," Salt (sodium chloride) including solution, salt water",178847.646,939.335106
41,120,Cameroon,62," Mens, boys overcoats of wool or hair, not knit",169080.99399999998,28.238801
42,120,Cameroon,90," Optical fibres, except for telecommunications",146865.521,56.601348
43,120,Cameroon,55," Filament tow of nylon, polyamides",145267.87099999998,74.343351
44,120,Cameroon,63, Electric blankets of textile material,141142.748,25.228603999999997
45,120,Cameroon,38, Artificial graphite,129492.90299999999,104.000204
46,120,Cameroon,61," Mens, boys overcoats, etc, of wool or hair, knit",129058.15199999999,22.165808
47,120,Cameroon,67," Bird skins and feathers, articles therefrom",125172.599,50.703281000000004
48,120,Cameroon,64," Waterproof footwear (Wellingtons etc), metal toe cap",114637.128,24.485382
