Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
General cargo,4469,1572,18046,25131,1993,1995,2000,2000,624,919,979,979,69,106,225,226,19,42,55,56,4122.9,314567,320607,38900752,115517295,164063743,8705,33134,44959
Container,3483,548,268121,279686,2005,2006,2013,2012,610,1157,1795,1678,55,94,243,237,20,25,23,23,25370.9,1961026,1998677,129993624,373321821,433321771,37322,135238,163658
Bulk carrier,1879,1074,69350,121021,2004,2007,2008,2008,786,1458,1567,1589,83,171,350,355,14,44,50,49,6424.7,496499,506032,43626165,100926417,131519639,23218,85321,103875
Chemical tanker,1507,594,24798,39480,2007,2007,2008,2008,632,1074,1001,1004,69,114,218,219,28,43,54,54,5245.7,404600,412368,14602081,71425479,84104957,9690,54975,67586
Oil tanker,1503,615,119839,223165,2007,2008,2009,2009,819,1575,1603,1620,90,169,307,309,28,47,49,48,11996.7,927917,945733,104423442,205376962,230789119,69477,179752,220354
Ferry-RoPax,975,40,24232,4979,2002,1995,2003,2003,519,2265,817,730,22,138,60,56,4,144,92,82,6770.4,522348,532377,30979311,76592622,93991657,31774,67830,61842
Cruise,783,110,29265,3074,1998,1998,2003,2002,531,617,647,650,37,54,60,63,9,26,13,14,6849.9,530427,540611,16170131,65044381,68410900,20652,73258,71485
Vehicle,655,211,47827,16418,2006,2007,2007,2006,836,2105,1561,1624,61,146,254,260,6,14,10,9,3084.5,238838,243423,16625791,73301912,84891085,25383,96480,103834
Ro-Ro,432,48,10531,5041,2001,2001,2003,2000,706,1106,912,958,40,102,144,156,10,14,25,30,1885.4,145921,148723,5671245,12612369,12733362,13128,30932,33593
Liquefied gas tanker,424,144,23237,21215,2004,2006,2009,2008,814,1953,2400,2284,90,169,307,309,22,40,41,41,3333.3,231764,236214,8048918,39626267,36224450,18983,128423,185036
Service - tug,174,99,163,142,1992,1996,2001,2000,538,1053,1073,1071,92,579,691,718,12,175,262,248,206.4,15539,15837,3626980,8576715,11483758,20845,53825,72673
Miscellaneous - fishing,119,43,97,117,1993,1993,1988,1988,477,2489,2034,2136,50,289,336,265,22,186,523,584,148.5,11175,11390,821442,1822117,2071562,6903,16246,19258
Ferry-pax only,108,33,102,30,1987,1990,1983,1980,811,4515,2052,3045,47,493,794,836,36,237,242,171,150.8,11324,11541,2375847,4888829,6164873,21999,51433,67814
Service - other,74,47,773,1600,2001,1997,2008,2012,651,1193,729,666,70,596,2321,2766,26,109,69,53,154.4,11654,11878,11166197,22910585,24687543,150895,335766,379127
Refrigerated bulk,29,24,233,252,1995,1995,1998,1998,610,1309,1283,1277,44,154,268,266,9,36,34,35,121.0,9179,9355,746593,1631341,1837552,25745,54861,59234
