Domestic by Dep. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
El Bosque,723,172,6132,6978,2007,2007,2013,2013,138,356,393,386,21,147,83,79,15,65,22,23,833.5,64041,65271,4530524,14138310,16464713,6266,22531,26982
Barranquilla,463,161,899,1318,2005,2006,2008,2009,103,197,140,149,10,72,43,46,13,59,40,40,237.0,18098,18446,1064404,3315491,3999292,2299,8520,10426
Santa Marta,381,228,1869,2456,2007,2008,2007,2007,142,297,174,174,16,116,124,140,21,86,53,65,459.1,35152,35827,1743966,5224386,6287999,4577,16098,19612
Mamonal,299,114,1344,1603,2006,2005,2007,2006,160,315,322,313,39,88,119,145,40,60,56,76,333.1,25563,26053,1194650,3453509,4220800,3995,13413,16467
Cartagena,216,80,844,1013,1998,2002,2011,2010,254,317,390,385,42,112,84,87,29,67,43,50,146.0,11146,11360,867487,2473562,3131428,4016,13615,17434
Turbo,184,43,1437,1791,2003,2004,2003,2003,298,297,359,360,20,31,61,62,17,32,31,32,340.9,26270,26775,2186869,6604240,7253855,11885,36073,41420
Buenaventura,172,56,5794,6860,2009,2009,2012,2012,705,835,710,715,84,169,98,103,17,42,22,24,654.8,50583,51554,4194953,12021507,14010805,24389,82358,97811
San Andres,170,13,132,178,1982,1979,1987,1986,400,450,482,480,50,126,257,253,52,94,202,202,89.5,6721,6850,580939,1606455,2224436,3417,10812,14956
Pozos Colorados,45,28,167,280,2010,2011,2011,2011,156,177,172,172,28,44,36,36,43,48,43,42,63.6,4917,5011,111824,466487,538509,2485,12483,15160
Tolu,39,15,81,137,2005,2009,2011,2011,131,214,244,247,13,40,53,53,39,44,47,47,12.8,977,996,72279,157771,202970,1853,6025,7330
Providencia,37,7,10,8,1969,1983,1983,1965,437,432,396,427,76,272,102,120,66,78,69,100,10.2,764,779,39715,103407,143629,1073,3068,4280
Puerto Bolivar,33,24,279,501,1998,2002,2009,2009,225,376,258,248,41,103,77,75,24,101,37,37,34.6,2660,2711,177177,477188,567247,5369,19604,23974
Covenas,29,8,14,20,2006,2004,2007,2007,216,463,122,102,123,840,811,434,67,183,143,103,24.6,1853,1888,148572,346945,462079,5123,13170,17711
Carbonera Muelle,23,22,5459,10521,2010,2010,2006,2006,22,1441,3613,3702,7,14,8,8,15,138,2525,2527,290.8,22525,22957,2397841,4743149,5475714,104254,294752,340909
Puerto Colombia,21,19,42,63,1997,2000,2005,2005,125,331,167,173,29,80,171,185,52,321,245,240,16.0,1212,1235,122477,304573,395497,5832,17032,21942
Tumaco,20,8,46,74,2009,2008,2011,2012,213,697,749,775,49,136,177,171,20,70,54,54,17.4,1320,1345,172706,420464,490314,8635,23034,27209
Acandi,16,12,28,33,2004,2002,2005,2005,79,160,94,90,10,13,12,11,44,41,47,43,12.3,945,963,37287,118062,130739,2330,7591,8853
Riohacha,10,6,4,6,1980,1984,1991,1989,152,438,303,301,32,74,146,147,90,158,182,172,5.9,445,453,74840,180499,240620,7484,19746,26555
Puerto Limon,7,6,14,19,2004,2002,2009,2008,192,421,208,194,46,85,133,89,65,91,81,96,9.5,712,725,24492,58687,72762,3499,10182,12323
Manaure,5,2,1,1,1982,1990,1981,1982,327,275,403,380,118,80,102,100,20,23,880,858,3.8,282,287,20980,49612,66428,4196,10835,14629
Rio Cordoba,2,2,3,4,2006,2006,2005,2005,94,94,99,99,14,14,18,18,45,45,47,47,1.3,96,98,3628,12626,13741,1814,7136,8584
Bahia Solano,2,1,14,19,1980,1980,1980,1980,5537,5537,5537,5537,694,694,1108,1108,332,332,142,142,15.8,1188,1211,130356,289154,328739,65178,153393,181838
