Int. Dep. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
El Bosque,1735,417,104907,106667,2006,2006,2007,2007,852,1384,1324,1462,73,122,174,189,20,35,21,22,15400.3,1191513,1214390,89172654,260534851,289383140,51396,159832,182857
Buenaventura,1177,549,87604,98762,2009,2010,2009,2009,1143,1390,1371,1388,73,135,167,170,29,54,35,39,9264.3,716986,730753,54913983,156580506,182843483,46656,160753,189275
Mamonal,617,350,26190,32405,2006,2007,2008,2009,1547,1794,1802,1939,125,202,339,405,32,73,75,89,3532.6,269552,274727,17727926,54126025,62785399,28732,109843,136635
Santa Marta,599,323,43972,68481,2006,2007,2009,2009,845,2548,2763,3446,75,253,615,708,27,65,129,153,4854.5,374765,381961,27682437,82351112,94347234,46214,163247,191889
Barranquilla,590,423,17012,27057,2008,2009,2010,2010,1227,1774,1694,1717,114,182,293,295,43,75,91,94,2323.6,178664,182095,15246660,40599084,52183152,25842,97569,120323
Cartagena,390,242,22267,24984,2004,2004,2007,2008,1090,1941,1849,1878,102,212,313,370,25,85,39,48,2674.6,206530,210496,17821388,49023793,57638014,45696,145754,172575
Puerto Bolivar,384,254,73146,138771,2004,2008,2010,2010,2959,3659,4135,4246,324,362,495,498,60,99,95,94,4806.1,371552,378686,31967447,72774053,84251853,83249,276678,327436
Carbonera Muelle,358,237,94578,180447,2011,2011,2010,2010,2524,4065,4261,4331,298,409,647,651,88,89,91,91,5842.3,452176,460858,40827419,87375626,100978979,114043,356802,418316
Covenas,271,158,52412,100067,2009,2009,2011,2011,1056,2681,2912,2965,111,274,801,807,42,58,57,57,4469.5,344914,351537,34570949,63518923,70898818,127568,330637,409156
Turbo,262,54,4289,5140,2003,2002,2006,2006,477,1080,763,776,50,79,101,102,29,44,31,31,988.1,75977,77436,6044768,18671145,20622924,23072,71690,82604
Leticia,141,6,82,61,2009,2002,2004,2005,279,827,536,883,16,122,196,307,11,47,36,48,41.9,3184,3245,137558,351787,489172,976,3051,4180
Pozos Colorados,90,74,4011,6734,2011,2011,2011,2011,1636,1499,1479,1471,158,181,200,199,42,61,54,54,561.3,43148,43977,1709937,9743786,11202165,18999,129393,157971
San Andres,84,10,60,72,1989,1987,1992,1990,190,344,300,285,22,44,63,62,15,65,33,35,20.8,1568,1598,227376,625590,886139,2707,8514,12022
Tolu,21,21,1082,1756,2010,2010,2010,2010,1654,2149,2097,2071,136,202,249,247,61,71,82,83,110.7,8533,8696,713483,1721363,2423978,33975,135729,168638
Tumaco,19,16,1109,1908,2005,2006,2006,2006,1468,1766,2366,2381,124,183,322,321,32,62,42,42,185.2,14221,14494,1528789,2529901,3400709,80463,193372,242744
Puerto Colombia,11,11,195,263,2000,2000,2011,2011,903,1016,960,1040,116,146,146,154,38,57,43,44,26.1,2001,2039,198132,518418,653650,18012,60820,73712
Bahia Solano,10,5,78,93,1983,1984,1982,1982,3839,8244,4541,6497,614,848,1171,1234,96,81,86,92,53.2,3994,4071,622676,1400352,1619181,62268,149025,179080
Providencia,6,4,8,1,1972,1978,2000,1984,236,353,444,297,36,40,40,42,12,139,32,165,3.1,240,245,5638,18922,31513,940,3124,4632
Puerto Limon,2,2,34,45,2009,2009,2009,2009,1705,1705,1683,1674,181,181,182,183,103,103,102,101,6.9,524,534,23837,76654,98338,11918,67812,90699
Acandi,1,1,52,59,2010,2010,2010,2010,1442,1442,1442,1442,87,87,87,87,11,11,11,11,6.8,523,533,49928,179877,195272,49928,180329,210502
Manaure,1,1,0,0,1966,1966,1966,1966,506,506,506,506,71,71,71,71,438,438,438,438,0.4,32,33,1324,3799,5460,1324,4317,6209
Riohacha,1,1,73,61,1976,1976,1976,1976,1345,1345,1345,1345,225,225,225,225,193,193,193,193,4.3,334,340,426852,875807,943736,426852,949818,1072480
