Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Container,1127,108,13750,15946,2008,2008,2012,2012,142,387,437,425,14,50,76,75,13,16,20,20,1729.6,133458,136021,10232283,32588447,37052825,9079,32608,38533
Service - tug,505,38,74,56,2006,2004,2005,2002,130,557,441,457,53,556,1624,1365,24,139,272,344,258.7,19426,19799,1426430,3373077,4516368,2825,7294,9848
General cargo,494,89,462,674,1984,2000,1995,1996,390,241,245,247,45,70,182,184,51,64,122,121,162.7,12294,12530,1196584,3526800,5054935,2422,8736,12229
Bulk carrier,280,202,7563,14236,2010,2011,2007,2007,147,363,666,696,23,70,46,44,77,100,1846,1889,567.5,43908,44751,3571662,7401666,8816650,12756,39218,45979
Chemical tanker,230,84,877,1422,2007,2009,2007,2007,213,334,270,269,39,47,94,95,31,38,60,61,406.4,31094,31691,1194829,4014336,4819001,5195,19913,24270
Vehicle,79,35,910,291,2006,2007,2007,2007,139,241,218,215,13,26,43,42,6,7,8,8,61.6,4768,4860,294618,1298949,1504316,3729,14175,15256
Refrigerated bulk,58,11,232,256,2003,2000,2003,2003,295,259,297,297,19,26,21,21,19,31,19,19,115.8,8821,8990,759950,1660528,1870428,13103,27921,30147
Oil tanker,53,33,494,889,2005,2006,2008,2008,180,284,262,266,48,84,126,129,38,57,55,55,174.5,13412,13670,584719,1173542,1336936,11032,29555,36109
Service - other,23,3,59,46,2013,1999,1994,1991,799,819,753,720,99,172,239,260,52,43,77,65,28.7,2155,2196,319099,654722,705503,13874,30872,34859
Liquefied gas tanker,20,9,28,33,2004,2004,2005,2005,137,178,177,174,81,90,138,137,38,41,55,56,26.8,2014,2053,24684,71513,78973,1234,6757,8886
Cruise,18,9,143,15,1998,1998,2001,1998,142,147,144,144,15,44,19,53,8,9,8,7,49.9,3839,3912,78726,328749,401498,4374,16451,18674
Ferry-RoPax,6,2,6,1,1980,1990,1997,1988,417,388,373,392,172,114,110,168,32,32,24,36,7.6,573,584,18212,40068,52726,3035,6741,9212
Ferry-pax only,2,2,2,1,1964,1964,1968,1962,1423,1423,157,253,300,300,169,337,1043,1043,875,1091,6.9,518,528,65812,144532,183417,32906,79646,105093
Miscellaneous - fishing,2,1,14,19,1980,1980,1980,1980,5537,5537,5537,5537,694,694,1108,1108,332,332,142,142,15.8,1188,1211,130356,289154,328739,65178,153393,181838
