int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
General cargo,355,179,1997,1999,2002,2004,1594433925,2135060456,737,894,877,871,405,30929
Bulk carrier,153,132,2008,2009,2011,2011,17979240435,32857306396,1666,2602,3181,3222,1485,114870
Chemical tanker,147,100,2007,2008,2009,2009,4503377913,7390258440,932,1459,1448,1463,817,63208
Vehicle,253,86,2005,2007,2008,2007,19637298907,6326229891,1131,2517,1758,1732,1324,102388
Cruise,92,30,1999,2003,1996,1996,1104229739,110207231,127,223,282,266,301,23296
Container,548,98,2004,2005,2006,2006,9406520781,10021981025,136,576,658,627,1451,111869
Oil tanker,9,7,2008,2007,2007,2007,277265347,516874380,779,658,855,877,38,2943
Service - other,3,3,2006,2006,2004,2004,2442251,888304,427,364,539,443,2,146
Service - tug,28,6,1996,1991,1995,1996,3000692,1362402,198,495,444,399,14,1084
Offshore,3,3,2001,2001,1986,1988,26939034,14147763,4914,5057,4027,4067,18,1372
Ferry-pax only,9,2,1989,1989,1989,1989,1889668,451710,683,1435,1083,1476,4,280
Refrigerated bulk,1,1,1994,1994,1994,1994,58768909,70447257,6985,6985,6985,6985,39,2976
Miscellaneous - fishing,1,1,1986,1986,1986,1986,9275,3819,50,50,50,50,1,81
Ro-Ro,1,1,1971,1971,1971,1971,600832,398253,192,192,192,192,0,14
