int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
General cargo,355,179,1997,1999,2002,2003,1975199951,2606755067,1014,935,1087,1063,474,36250
Bulk carrier,153,132,2008,2009,2011,2011,9712380542,17784311970,1156,1496,1718,1744,654,50567
Vehicle,253,86,2005,2007,2006,2006,26077682364,8457689712,1169,3278,2335,2315,1642,127124
Chemical tanker,147,100,2007,2008,2008,2009,2984230873,4852745064,877,933,959,961,486,37594
Container,548,98,2004,2005,2006,2006,6290584113,7208149724,150,446,440,451,1018,78484
Cruise,92,30,1999,2003,2000,2000,1041995845,121455613,119,275,266,293,320,24753
Service - other,3,3,2006,2006,2006,2007,2473762,1107084,426,845,546,552,3,243
Service - tug,28,6,1996,1991,1995,1997,2369083,1526741,158,699,351,447,15,1155
Oil tanker,9,7,2008,2007,2006,2006,140462928,245442618,759,526,433,416,34,2624
Offshore,3,3,2001,2001,1987,1989,7182138,3963617,1728,1742,1074,1139,5,361
Ferry-pax only,9,2,1989,1989,1989,1989,1163740,313660,404,1053,667,1025,2,175
Refrigerated bulk,1,1,1994,1994,1994,1994,16706454,20026301,1986,1986,1986,1986,8,620
Miscellaneous - fishing,1,1,1986,1986,1986,1986,73807,30391,395,395,395,395,0,21
Ro-Ro,1,1,1971,1971,1971,1971,1081122,716606,345,345,345,345,0,28
