dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Container,1,1,2001,2001,2001,2001,169985,207406,12,12,12,12,0,11
Offshore,1,1,1984,1984,1984,1984,2435506,1208796,389,389,389,389,1,42
Bulk carrier,1,1,2008,2008,2008,2008,333238,554385,20,20,20,20,1,87
