int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Miscellaneous - fishing,131,81,2003,2002,2004,2004,1892214302,1397273788,7781,11862,9541,9705,652,48993
Container,47,11,2007,2008,2011,2011,1327191127,1643635542,2187,1743,1891,1823,305,23487
Service - other,5,5,1994,1994,1990,1989,56267373,30167738,3270,4265,5327,5546,24,1800
Refrigerated bulk,91,50,1992,1992,1992,1992,1504257118,1775298663,3834,3968,3628,3611,1366,103431
General cargo,27,6,2009,2011,2010,2009,275333627,331765962,610,1272,972,1010,46,3545
Bulk carrier,1,1,2007,2007,2007,2007,25953424,42490004,1305,1305,1305,1305,3,223
Cruise,1,1,1990,1990,1990,1990,3797922,689611,562,562,562,562,1,83
Oil tanker,5,5,1998,1998,1995,1995,171263707,282917807,4053,11907,9352,9583,64,4883
Service - tug,7,5,1978,1984,1975,1984,8460855,5094843,2179,2604,2496,2419,16,1238
Chemical tanker,23,9,2010,2010,2011,2011,456084816,724287807,1804,1657,1624,1608,96,7371
Ro-Ro,1,1,1994,1994,1994,1994,1293043,1373471,2062,2062,2062,2062,7,531
