dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Container,3,1,2000,2000,2000,2000,5132908,6953768,267,267,269,269,2,152
Miscellaneous - fishing,8,5,1992,1987,2004,2005,37969630,37800171,947,917,3232,3553,26,1988
Bulk carrier,1,1,2007,2007,2007,2007,8975533,14694417,451,451,451,451,1,75
Cruise,1,1,1990,1990,1990,1990,737265,133869,109,109,109,109,0,16
General cargo,26,5,2008,2010,2010,2009,71551163,82974045,264,265,267,267,13,1018
Ro-Ro,24,1,1994,1994,1994,1994,9697275,10300454,346,346,644,644,50,3791
Service - tug,2,1,1945,1945,1945,1945,260332,91199,276,276,276,276,1,67
