Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Container,576,172,7291,9428,2006,2007,2006,2006,236,387,356,363,21,61,100,101,43,52,51,52,1561.2,120683,123001,7824553,24657709,27305193,13584,44995,52552
Bulk carrier,343,299,32614,57142,2009,2009,2011,2011,2763,2884,3064,3085,224,277,469,470,126,145,160,160,2899.3,224378,228686,19028370,41842359,52418371,55476,193496,230690
Chemical tanker,273,140,5593,8952,2007,2007,2009,2009,283,1305,1317,1334,61,220,397,397,73,122,162,163,1607.3,123328,125696,3252558,15959284,18730198,11914,67664,82874
General cargo,208,150,3373,4513,2006,2006,2008,2008,1029,1614,1695,1681,106,162,332,321,41,61,70,72,732.1,56247,57326,3023573,9829987,14061758,14536,70549,93438
Refrigerated bulk,189,69,1308,1463,1995,1992,1996,1996,657,1265,1081,1072,74,155,233,236,76,105,93,95,958.6,72654,74049,4341352,9486065,10685160,22970,48949,52850
Miscellaneous - fishing,113,35,411,451,1983,1987,1992,1991,1141,5356,3695,4201,127,520,1211,1197,90,366,832,817,230.3,17295,17627,3168469,7028275,7990437,28040,65990,78227
Ro-Ro,103,24,1422,678,2010,2009,2011,2011,226,446,274,276,18,38,35,37,25,27,31,31,171.2,13210,13463,753418,1602065,1672957,7315,17224,18598
Oil tanker,88,39,3424,6346,2006,2003,2009,2009,395,2323,1911,1986,100,392,447,436,50,325,119,105,665.4,51058,52039,3588383,5992426,6679258,40777,114136,141516
Vehicle,80,71,11872,3941,2010,2010,2011,2011,3382,2427,2445,2458,190,154,228,228,9,13,13,13,702.4,54347,55390,3991002,17596039,20378007,49888,189622,204075
Liquefied gas tanker,78,30,2797,3078,2011,2011,2011,2011,350,1367,1632,1545,58,251,443,425,92,109,74,80,542.9,40936,41722,1834272,6312388,6524253,23516,138738,188487
Service - tug,57,36,152,124,2005,2003,2009,2008,736,1683,1577,1436,119,427,421,406,88,316,577,579,121.0,9155,9331,3176686,7511905,10058035,55731,143908,194301
Service - other,27,22,435,293,2007,2008,2008,2008,987,2606,4405,4599,261,664,639,1044,60,525,1037,603,112.4,8536,8700,2043094,4191979,4517112,75670,168379,190123
Cruise,4,3,121,18,2002,2003,1999,1999,1181,915,1030,1245,77,70,170,175,23,22,45,46,34.9,2702,2754,47145,390221,520388,11786,81399,96772
