Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Container,570,172,37380,46760,2005,2007,2009,2009,389,2018,1844,1820,66,166,373,370,25,30,25,25,4580.4,354657,361466,37513050,104815783,117135497,65812,199435,231237
Bulk carrier,337,293,32294,56942,2009,2009,2011,2011,2122,2751,3116,3161,223,313,570,576,68,126,89,87,2540.2,196646,200422,18095957,39487149,48587830,53697,184208,218509
Chemical tanker,270,139,5965,9560,2007,2008,2009,2009,333,1477,1431,1453,67,190,378,378,44,111,86,85,1309.0,100346,102273,3599723,17373531,20441358,13332,74445,91329
General cargo,207,149,3342,4463,2006,2006,2008,2008,1133,1724,1731,1718,119,197,334,339,42,68,55,55,679.2,52100,53100,3136071,10125486,14493139,15150,72041,95828
Refrigerated bulk,189,69,1008,1122,1994,1992,1994,1994,339,1129,840,826,46,121,261,258,59,109,100,99,767.6,58069,59184,3327227,7270153,8189144,17604,37515,40505
Miscellaneous - fishing,113,36,270,285,1983,1987,1993,1992,752,3364,2434,2645,95,528,1491,1542,23,273,455,506,174.9,13131,13384,2005986,4449663,5058817,17752,41779,49526
Ro-Ro,100,24,15898,7724,2010,2009,2012,2012,3860,2888,3182,3267,240,198,337,347,26,37,60,64,1218.1,94039,95844,8323392,15600602,17949252,83234,195671,208107
Oil tanker,93,43,3954,7348,2006,2003,2011,2011,354,1540,1840,1889,115,557,634,632,34,62,29,28,720.3,54982,56038,3971471,6516602,7539182,42704,114021,140687
Liquefied gas tanker,80,31,2484,2833,2010,2011,2012,2012,585,1176,1330,1325,54,125,355,357,34,62,78,78,368.1,27936,28473,1734478,5850399,6091419,21681,126753,171556
Vehicle,77,67,6318,2100,2010,2010,2011,2010,361,1322,1351,1362,51,93,226,231,12,17,22,23,358.8,27778,28311,2126572,9375900,10858248,27618,104975,112976
Service - tug,59,36,123,115,2004,2002,2007,2007,716,1272,1308,1312,316,666,988,1022,23,226,112,117,108.2,8186,8343,2933262,6936281,9287305,49716,128376,173330
Service - other,24,19,379,291,2007,2007,2007,2007,580,2850,3569,3930,502,1389,4540,5332,206,220,254,239,125.8,9547,9731,2028565,4162170,4484990,84524,188079,212368
Cruise,4,3,170,24,2002,2003,2002,2001,1674,1238,1451,1667,110,85,151,159,43,33,63,67,41.7,3233,3296,63122,522464,696743,15780,108985,129568
