Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Miscellaneous - fishing,124,15,161,183,1979,1981,1983,1984,969,2264,2104,2306,124,231,820,778,24,101,291,438,99.3,7458,7601,1285076,2850546,3240782,10364,24390,28913
Bulk carrier,63,51,318,556,2010,2010,2010,2010,144,164,159,159,14,46,50,49,125,127,131,130,57.3,4435,4520,220191,462709,572649,3495,11809,13891
Service - tug,56,20,201,172,2006,2005,2008,2008,974,1245,1304,1345,428,881,1150,1138,36,84,178,175,126.7,9513,9696,4398710,10401624,13927212,78548,202826,273850
Container,31,17,131,169,2005,2006,2006,2005,152,157,155,156,18,33,41,42,23,30,33,33,35.7,2752,2805,142348,490303,541490,4592,16394,19304
Refrigerated bulk,21,5,15,20,1985,1992,1987,1986,173,170,204,207,32,50,140,145,151,121,184,189,85.6,6434,6558,59083,129098,145417,2813,5995,6473
General cargo,15,14,30,41,2009,2009,2011,2012,151,174,170,170,16,36,42,43,103,88,105,110,12.9,979,998,23229,77629,112108,1549,7879,10562
Ro-Ro,13,6,125,54,2014,2013,2014,2014,134,135,136,136,12,16,18,18,21,28,26,26,13.0,1005,1024,58284,107399,125220,4483,10538,11186
Oil tanker,9,3,31,49,2006,2006,2005,2005,336,324,308,293,53,47,135,126,33,54,36,36,10.1,767,781,61503,76590,75608,6834,22187,29267
Service - other,7,4,35,32,2009,2004,2014,2014,593,907,1465,1881,310,1452,900,657,78,328,225,176,21.6,1624,1655,224118,459840,495506,32017,71243,80443
Chemical tanker,5,4,7,10,1997,2000,1995,1994,234,242,257,261,49,57,89,92,60,52,65,65,6.4,484,493,16157,49595,62806,3231,11007,14075
Cruise,4,2,12,2,1996,1996,1996,1997,135,149,151,155,12,13,13,14,22,23,25,28,7.2,554,565,4071,33692,44931,1018,7028,8355
Vehicle,2,2,25,8,2011,2011,2010,2010,191,191,185,188,22,22,24,25,8,8,7,6,1.1,83,85,7908,34867,40379,3954,15030,16175
Liquefied gas tanker,1,1,10,12,2009,2009,2009,2009,273,273,273,273,73,73,73,73,85,85,85,85,3.4,267,272,2770,20699,17188,2770,25058,38936
