Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Service - other,2797,176,2994,3316,1994,1992,1999,1998,163,469,670,729,40,171,408,384,19,77,117,102,2182.9,162183,165297,23139935,47478067,51160492,8273,18409,20786
General cargo,2463,756,839,1132,1990,2001,2001,2001,109,124,130,127,15,26,49,47,23,40,59,57,365.4,27427,27953,2602486,7556942,10801253,1057,3660,5131
Service - tug,2456,152,203,127,1995,1997,1999,1998,146,260,236,230,72,214,519,461,26,74,182,175,878.3,65947,67213,3254251,7695325,10303624,1325,3421,4620
Container,1681,419,8723,9393,2008,2009,2012,2011,118,106,112,112,12,17,27,27,17,29,34,33,1663.7,125506,127916,5641363,18118302,20015647,3356,11797,14008
Miscellaneous - fishing,1307,87,166,65,1983,1983,1999,1994,175,289,285,322,29,46,181,196,29,82,94,119,519.1,38972,39720,459989,1020345,1160029,352,828,982
Chemical tanker,1175,358,925,1418,2006,2007,2007,2007,95,105,116,116,11,14,20,19,20,34,39,40,693.9,52364,53370,1341327,4400808,5328323,1142,4303,5290
Oil tanker,708,77,490,813,1993,2004,2004,2004,113,123,97,96,14,23,30,29,12,48,54,55,484.8,36530,37231,910525,1069872,1234146,1286,3452,4277
Ferry-pax only,618,41,269,40,1977,1971,1985,1979,271,2889,920,736,60,617,760,887,27,131,267,214,501.9,37687,38411,3281746,6683583,8419249,5310,12349,16280
Ro-Ro,385,40,300,219,2004,2006,2007,2007,111,121,90,103,12,25,60,68,10,20,25,26,284.8,21399,21810,474540,2870414,1526318,1233,2977,3945
Vehicle,376,226,2508,838,2008,2008,2009,2008,121,125,122,122,11,21,38,38,21,29,28,28,252.5,18972,19336,848931,3742876,4334632,2258,8582,9236
Bulk carrier,347,214,1670,2980,2008,2009,2010,2010,88,149,150,153,10,35,161,166,53,77,65,65,252.9,19189,19558,812804,2068871,2534622,2342,9412,11445
Ferry-RoPax,333,20,763,144,1996,1994,1998,1996,285,900,499,449,28,322,990,908,18,49,155,135,534.9,39887,40653,1657084,3809662,4881067,4976,10896,13135
Liquefied gas tanker,227,59,464,496,2004,2006,2005,2005,72,93,236,247,8,15,517,578,22,39,18,19,209.1,15489,15786,211923,945524,895810,934,6251,8910
Cruise,103,26,348,44,1959,1977,1997,1990,136,164,182,169,19,21,23,23,17,19,14,17,214.3,16190,16501,174305,950069,1239782,1692,8128,9791
Refrigerated bulk,10,7,5,5,1990,1990,1990,1990,101,134,149,148,13,16,31,31,15,20,30,33,5.7,431,440,13568,29647,33395,1357,2891,3122
