Int. Dep. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Jersey,3,3,6,3,1991,1991,1992,1994,576,631,574,651,64,70,57,78,10,15,10,18,2.3,174,177,7999,29206,51856,2666,10717,17578
Israel,3,3,401,471,2005,2005,2000,2001,3655,3658,3669,3667,296,276,247,253,75,99,61,63,42.4,3264,3327,352352,844227,979023,117451,341916,395580
Uruguay,3,3,316,429,2006,2006,2005,2004,6588,6650,6690,6698,547,535,541,545,4,13,8,8,54.1,4168,4248,121552,598540,783920,40517,279675,365392
"Korea, Republic of",2,2,1,2,2009,2009,2017,2017,129,129,164,166,28,28,46,47,17,17,25,25,0.7,55,56,3689,7270,8159,1845,5037,6180
"Tanzania, United Republic of",2,2,1041,353,2006,2006,2005,2006,8916,8916,8917,8913,546,546,547,543,20,20,20,20,67.9,5248,5348,357829,1577641,1827069,178914,680054,731887
Sri Lanka,2,2,1182,1129,2002,2002,2017,2017,7463,7463,7670,7674,579,579,494,492,27,27,26,26,72.6,5598,5705,429840,973484,1288421,214920,809964,1011295
Angola,2,2,479,880,2002,2002,2008,2008,5222,5222,5196,5195,413,413,415,415,38,38,38,38,45.4,3498,3565,322771,652922,767874,161386,466285,575213
Guatemala,2,2,276,377,2005,2005,2010,2010,8379,8379,6593,6614,694,694,566,568,42,42,52,52,44.9,3456,3523,225387,763031,1059308,112693,536742,719006
Guernsey,2,2,88,12,1997,1997,2003,2002,580,580,586,585,76,76,39,45,1,1,0,0,17.4,1309,1334,-2799,131690,193426,-1399,59375,85595
Czechia,2,2,89,118,2018,2018,2018,2017,361,361,362,360,44,44,45,43,5,5,6,5,2.5,190,194,34141,73280,92365,17070,58109,70686
Chile,2,2,128,195,2009,2009,2009,2009,7602,7602,7501,7460,664,664,639,628,34,34,38,41,31.9,2450,2497,258842,743224,928133,129421,442160,533201
United Arab Emirates,2,2,259,491,1998,1998,1998,1998,3448,3448,5095,5337,282,282,556,557,8,8,13,13,22.3,1720,1753,100277,294650,337128,50139,229414,280560
Mozambique,2,2,527,932,2014,2014,2015,2015,7861,7861,7866,7866,738,738,741,741,128,128,128,128,40.6,3135,3196,297018,683358,818868,148509,542885,644772
Japan,2,2,1003,500,2016,2016,2015,2016,9542,9542,10367,8935,840,840,812,847,70,70,48,76,62.7,4838,4930,324571,1349254,1688031,162286,734592,884002
Argentina,2,2,184,233,1998,1998,2011,2012,7148,7148,7551,7596,578,578,568,567,79,79,115,118,36.3,2775,2828,367623,659132,813846,183812,472981,615126
Jamaica,2,2,98,130,2003,2003,2004,2004,4937,4937,4987,4989,384,384,398,399,79,79,56,55,27.5,2118,2158,104930,331710,469300,52465,243110,316968
Nicaragua,1,1,190,269,1994,1994,1994,1994,5788,5788,5788,5788,408,408,408,408,50,50,50,50,28.5,2198,2240,101797,371690,548803,101797,609071,831746
Congo,1,1,441,857,2002,2002,2002,2002,5216,5216,5216,5216,534,534,534,534,33,33,33,33,32.4,2496,2543,313659,591024,665795,313659,823658,994993
Côte d'Ivoire,1,1,157,274,2015,2015,2015,2015,4312,4312,4312,4312,492,492,492,492,153,153,153,153,12.3,946,964,55766,163689,186996,55766,254825,311430
Iran (Islamic Republic of),1,1,169,241,2016,2016,2016,2016,7571,7571,7571,7571,723,723,723,723,0,0,0,0,13.9,1066,1086,90903,331915,490075,90903,543894,742741
Lebanon,1,1,25,36,2010,2010,2010,2010,4202,4202,4202,4202,394,394,394,394,36,36,36,36,4.5,346,352,61280,179757,247896,61280,245502,309550
Qatar,1,1,268,522,2002,2002,2002,2002,6886,6886,6886,6886,681,681,681,681,176,176,176,176,22.4,1729,1762,106222,311792,356185,106222,485385,593205
