Int. Arr. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Bremerhaven,3765,1034,146835,113703,2005,2006,2008,2008,364,822,862,787,37,80,172,155,21,68,38,36,15748.9,1194657,1217594,82218730,279057330,310486479,21838,73778,84671
Rostock,3583,737,20329,12755,1998,2001,2004,2005,160,513,240,421,17,67,61,120,8,55,40,96,4843.4,363715,370698,18649213,55664473,65941010,5205,15849,18207
Travemunde,2882,77,25721,7153,1999,1999,2003,2003,138,411,268,280,11,46,25,27,2,30,6,7,6238.9,468435,477428,32836225,80185030,98196711,11394,24685,22899
Hamburg,2248,1083,40077,47479,2005,2005,2011,2011,412,722,591,702,42,82,192,265,23,42,47,56,5748.6,435286,443643,25811872,79209320,95374500,11482,43422,53451
Altenwerder,2156,755,87941,111061,2008,2008,2012,2012,428,998,784,905,39,103,251,294,23,35,47,52,9101.7,691695,704975,42883936,137250205,149229975,19891,73439,88064
Helgoland,1325,890,30394,40810,2005,2005,2011,2010,349,800,826,910,34,89,230,250,13,25,25,29,3248.8,246523,251257,18425781,53364789,61800023,13906,51092,61850
Emden,1215,419,23061,9683,2002,2004,2008,2007,326,743,1018,882,35,81,213,202,22,56,44,44,2301.4,174703,178057,10619621,40072562,48146515,8740,32105,37000
Lubeck,1087,244,10053,6950,2002,1999,2005,2005,555,567,621,640,42,73,55,64,13,49,19,27,2536.7,190511,194169,8975714,19905418,24824973,8257,22449,26403
Cuxhaven,1020,268,5867,3485,2001,1999,2003,2004,328,700,424,449,27,128,113,136,9,59,30,40,1418.3,106440,108483,6375765,16850512,19861426,6251,17702,21066
Wilhelmshaven,945,439,44122,64239,2006,2006,2012,2011,615,1109,1159,1288,69,139,256,296,21,33,33,34,4891.5,370060,377165,27246705,75270723,82849130,28832,93656,113986
Wismar,812,331,1238,1518,1995,1997,1998,2000,348,435,474,441,39,52,95,79,36,57,152,76,433.1,32580,33206,3507451,10374654,14536327,4320,15157,20616
Brake,675,487,7804,13483,2003,2004,2010,2010,453,910,1341,1438,74,111,357,372,27,50,124,129,1057.8,80422,81966,7313324,20727649,27483228,10835,41461,54013
Buetzfleth,531,205,5301,8722,2001,2004,2008,2009,396,970,1337,1529,38,105,297,315,22,40,95,102,1004.4,76082,77543,3727756,11084968,13340754,7020,30138,38295
Hamburg-Mitte,518,245,18233,10434,2005,2004,2011,2010,411,935,1098,952,38,87,180,175,21,44,33,39,1814.5,138145,140797,11218641,27923694,32909132,21658,61581,69362
Mukran,467,172,1521,1496,2002,2001,2000,2004,234,571,406,529,24,111,129,163,23,123,85,96,581.3,43711,44550,3818767,9343610,11838021,8177,22756,27612
Mittelsburen,406,275,4013,6523,2002,2003,2009,2009,428,834,987,1003,55,102,247,250,41,53,72,72,553.7,42027,42833,3913703,10180851,13510341,9640,34937,44343
Ostermoor,372,203,3878,6235,2006,2007,2010,2010,379,853,1182,1234,38,94,346,354,27,44,66,67,614.7,46646,47541,3493929,8549446,11106175,9392,34606,43469
Bremen,369,195,2297,2533,2001,2002,2005,2007,438,787,818,778,56,105,205,227,31,56,59,69,594.7,44931,45794,2787323,8808994,10503758,7554,26106,34402
Spiekeroog,349,311,8636,7614,2006,2006,2008,2008,339,859,1024,934,38,80,214,222,12,28,31,39,843.7,64204,65437,4992545,15640102,19288837,14305,52543,62268
Brunsbuettel,290,216,2856,4334,2002,2002,2010,2010,412,714,1086,1158,45,80,388,420,33,44,58,60,514.0,38832,39577,2925458,7965958,9848582,10088,35367,44138
Stralsund,242,148,297,432,1998,1997,2000,2000,366,430,434,436,42,56,102,104,23,36,35,35,104.7,7863,8014,1321133,3602697,4964038,5459,17310,23637
Kiel,199,95,907,583,1978,1994,2009,2006,229,530,498,622,34,59,70,117,24,48,27,33,304.2,22864,23303,909317,2753622,3558407,4569,15337,18674
Neuhaus,191,172,403,541,2001,2001,2005,2005,340,464,459,477,34,62,84,87,0,3,1,1,121.8,9177,9354,1073421,3080951,4160369,5620,19352,25464
Duisburg,178,45,66,88,2001,1999,2001,2001,133,231,233,230,22,37,59,59,25,32,30,31,26.0,1953,1990,276238,792218,1138352,1552,5057,7272
Ellerbek,174,116,1736,1289,1999,2002,1999,2001,546,551,1121,875,49,59,64,62,32,66,96,85,422.7,31747,32356,1697529,4246983,5038531,9756,28582,33521
Vierow,168,131,160,237,1996,1997,2002,2002,262,363,413,413,42,93,171,177,28,57,65,67,65.8,4943,5038,869729,2230424,2944768,5177,15064,20055
Papenburg,161,89,266,368,2003,2001,2006,2005,460,529,550,545,66,65,109,108,34,54,46,46,81.7,6133,6251,889890,2572709,3642146,5527,19497,26622
Nordenham,151,128,3997,6968,2004,2005,2007,2008,437,1157,1682,1741,77,167,501,520,35,71,135,134,494.2,37514,38235,3015239,8078060,9520209,19968,72333,88351
