Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
General cargo,538,204,2417,3121,1989,1991,1993,1993,834,877,830,820,88,146,177,182,29,98,64,67,642.3,48947,49886,4267674,12781612,18070980,7932,31452,41950
Oil tanker,483,268,69529,130594,2008,2009,2009,2009,1021,2598,2354,2388,122,259,470,475,33,53,57,57,6749.2,522456,532487,57268792,112660450,126934899,118569,302483,370782
Container,385,77,3197,4023,2002,2001,2001,2001,557,689,733,745,62,71,117,119,24,32,32,32,850.9,65068,66317,5087551,16188840,18263772,13214,43908,51680
Chemical tanker,238,130,5067,8141,2006,2007,2008,2008,729,932,942,955,82,116,208,213,32,59,56,55,982.5,76019,77478,1833746,12089609,14000871,7705,59753,73448
Service - tug,151,21,97,82,2007,2005,2008,2007,222,604,361,354,55,196,366,352,9,56,44,41,80.7,6058,6174,2100933,4968073,6651981,13913,35927,48508
Bulk carrier,147,90,4752,8599,1997,1999,2004,2005,862,1142,1614,1698,90,199,993,1042,16,67,94,95,392.9,30279,30860,2602487,5954453,7990934,17704,63404,77793
Vehicle,126,43,6110,2060,1996,2003,2002,2001,839,1847,1501,1538,70,125,229,235,14,44,75,83,473.7,36544,37245,2085997,9197010,10651075,16556,62928,67724
Liquefied gas tanker,96,14,844,910,2011,2009,2012,2011,565,958,700,687,48,86,99,98,22,22,39,40,208.5,15985,16292,686789,1989740,2197310,7154,39168,51507
Refrigerated bulk,26,21,247,274,1994,1994,1994,1994,1102,1191,1144,1141,73,97,107,107,52,134,124,127,166.3,12617,12859,813673,1777915,2002654,31295,66690,72005
Ro-Ro,22,9,512,428,2005,2002,2013,2013,680,639,630,627,54,79,65,63,28,31,45,46,62.3,4811,4904,485381,1108332,1097136,22063,52005,56677
Service - other,11,3,16,25,1979,1985,1987,1989,470,579,573,551,67,274,292,327,12,764,824,1049,10.9,819,835,175793,360688,388664,15981,35561,40153
Miscellaneous - fishing,4,3,0,0,1987,1989,1990,1990,181,354,94,93,25,46,55,56,37,64,48,41,0.6,47,48,1709,3792,4311,427,1006,1192
Ferry-RoPax,1,1,6,2,1986,1986,1986,1986,1260,1260,1260,1260,137,137,137,137,3,3,3,3,2.5,185,189,13156,32534,39920,13156,28083,25578
