int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,1423,843,2005,2010,2011,2011,88816737311,153829616127,841,2578,2483,2494,8978,687997
Oil tanker,1132,360,2004,2007,2009,2009,63409609240,114422382813,457,1791,1701,1743,7065,537534
General cargo,7206,1412,1997,2001,2005,2005,21941757231,30227010435,366,853,873,866,5645,427221
Chemical tanker,2156,591,2003,2007,2008,2008,16374588323,26172917048,394,894,860,882,4196,316801
Miscellaneous - fishing,1573,350,1993,1992,1998,2002,1790453089,1272200829,443,1105,1172,993,1492,112133
Container,1131,157,2005,2006,2010,2009,12298405750,13013939082,349,559,512,498,2281,171836
Offshore,994,240,2006,2004,2009,2008,2865968251,2310203248,190,865,671,609,1444,106421
Refrigerated bulk,207,76,1993,1993,1992,1992,2239800630,2341981877,716,1164,1649,1715,1291,97608
Ferry-pax only,120,17,1963,1968,1981,1973,25861246,4641933,176,1028,642,398,68,5130
Ro-Ro,736,55,2001,2002,2005,2004,5876804939,3677662263,325,506,407,421,1490,112025
Ferry-RoPax,1220,66,1998,1997,1999,2000,21492982097,3058520989,280,8392,576,688,5691,418673
Cruise,473,94,1993,1994,2007,2006,14374482673,1452824017,304,408,491,475,3594,269863
Service - other,545,174,1991,1993,2003,2005,1200550116,1626620955,317,1454,724,676,818,61448
Service - tug,876,182,1993,1997,2001,2001,339394328,255872907,198,671,478,508,526,39491
Liquefied gas tanker,228,88,2006,2009,2008,2009,7420028130,5527807320,359,593,1225,1125,1002,67867
Vehicle,130,30,2003,2002,2003,2002,1167164581,376091695,312,317,311,309,142,10627
Other liquids tankers,8,1,1988,1988,1988,1988,7639486,13284487,508,508,504,504,11,795
