dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
General cargo,2012,458,1991,1998,1998,1998,938075580,1245450140,143,193,198,194,334,25093
Miscellaneous - fishing,643,101,1990,1991,2002,2005,360953682,317782745,286,731,742,760,465,34908
Offshore,361,70,1991,2001,2004,2004,309773191,206665174,174,926,370,361,462,34668
Container,281,30,2002,2003,2002,2003,540057370,648709918,127,152,142,142,155,11659
Oil tanker,157,75,2003,2007,2008,2008,1681639652,2764379161,160,227,285,274,906,68076
Ferry-pax only,111,11,1943,1960,1970,1954,14130690,5060557,112,493,715,298,71,5307
Ro-Ro,194,8,1998,1996,2000,2000,564947210,408809829,138,174,144,144,138,10341
Ferry-RoPax,939,34,2008,2000,2010,2011,5401414769,1028920120,96,4446,415,336,2002,150259
Chemical tanker,570,140,2003,2005,2005,2005,709798514,1120966973,152,222,227,226,407,30543
Bulk carrier,381,72,1988,2006,2004,2005,939846142,1514071538,147,261,297,294,166,12514
Cruise,107,41,1989,1989,2007,2005,509681013,58454749,146,150,154,150,160,12008
Service - other,1925,89,1978,1989,1990,1989,543590697,690714575,123,937,261,256,877,65819
Service - tug,1049,68,1997,1996,2000,2000,113389475,71485371,152,409,253,256,400,30064
Liquefied gas tanker,11,10,2005,2004,2011,2010,21721637,23669010,180,201,206,197,20,1471
Other liquids tankers,1,1,1988,1988,1988,1988,350804,610022,185,185,185,185,1,50
Vehicle,1,1,2009,2009,2009,2009,10508363,2823577,520,520,520,520,3,193
Refrigerated bulk,12,6,1991,1997,1993,1993,9193864,8654964,118,135,147,149,5,383
