int_dep_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Saby,6,6,1989,1989,2004,2005,4380624,6253288,231,420,561,559,2,113
Hejls,2,2,2006,2006,2007,2007,5666859,7765562,764,764,699,702,1,87
Lundeborg,1,1,1990,1990,1990,1990,48054,38018,193,193,193,193,1,52
Aro,3,3,1999,1999,2004,2004,14832415,19211063,396,466,564,564,4,276
Lemvig,1,1,1985,1985,1985,1985,1095768,1551780,744,744,744,744,0,31
Bovlingbjerg,1,1,2012,2012,2012,2012,61809,10476,524,524,524,524,1,74
Dyssegard,1,1,2018,2018,2018,2018,9548,1591,530,530,530,530,0,9
Kerteminde,3,3,1985,1985,2003,2004,7334426,9361019,317,325,389,391,9,700
Hjerting,3,3,2005,2005,1996,1998,3817721,1026420,294,216,230,169,1,107
Nykobing Sjaelland,1,1,1982,1982,1982,1982,186380,237946,218,218,218,218,1,48
Snertinge,1,1,1998,1998,1998,1998,705304,1073527,288,288,288,288,0,21
Nyrup,1,1,1998,1998,1998,1998,1263139,1922078,516,516,516,516,0,33
Store Heddinge,1,1,2008,2008,2008,2008,870843,1257349,344,344,344,344,0,16
Troense,1,1,1961,1961,1961,1961,38346,19006,352,352,352,352,0,15
Sandved,1,1,1985,1985,1985,1985,268894,301138,146,146,146,146,0,8
Store Merlose,1,1,2006,2006,2006,2006,5876666,8683397,770,770,770,770,1,98
Masnedsund Godningshamn,1,1,2008,2008,2008,2008,2823120,4802046,94,94,94,94,1,55
