dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
General cargo,60,33,2003,2004,2008,2008,139219269,199965487,300,371,332,327,37,2836
Liquefied gas tanker,200,22,2008,2008,2008,2008,479816194,545828676,116,205,211,206,205,15642
Chemical tanker,27,20,2005,2006,2006,2006,91877176,152442597,83,135,155,157,82,6204
Container,160,53,2008,2007,2008,2008,630047595,814948542,293,168,197,202,180,13849
Bulk carrier,31,26,2008,2009,2010,2010,164812208,262352483,297,254,231,227,22,1723
Service - tug,199,15,2007,2003,2007,2007,15882660,7358774,153,298,267,259,104,7799
Service - other,5,2,2011,2009,2010,2007,1093053,768000,280,298,434,374,2,121
Oil tanker,10,9,2008,2007,2009,2009,56871665,99765921,90,159,122,120,59,4508
Cruise,18,8,2007,1994,2010,2008,148677402,14228930,73,170,105,114,53,4137
Vehicle,4,1,1996,1996,1996,1996,2393998,973239,52,52,61,61,1,94
Offshore,2,2,1979,1979,1979,1979,48798,75259,36,36,36,36,0,11
Ro-Ro,3,2,1972,1974,1971,1971,733546,1133574,55,128,125,124,1,74
