int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Service - other,14,11,1999,1997,1993,1998,31582287,29613244,763,1667,764,614,37,2785
General cargo,441,145,2000,2004,2008,2008,3925256460,5473035358,734,1480,1557,1522,768,58818
Bulk carrier,267,192,2005,2009,2009,2009,10303380274,16796326071,1440,1977,1856,1856,1143,88118
Container,1578,251,2008,2007,2009,2009,75620500991,88327357204,809,1431,1459,1437,9645,745167
Oil tanker,82,52,2007,2008,2010,2010,4944980695,8768795738,1513,2090,2434,2492,621,47770
Liquefied gas tanker,233,57,2005,2009,2009,2009,9149640056,9269856898,771,1669,1576,1520,1334,95314
Ro-Ro,103,11,1977,1984,1979,1979,86545861,122949559,301,338,346,332,97,7268
Vehicle,158,81,2004,2007,2007,2007,12256054565,4204639417,696,1512,1621,1661,790,61066
Chemical tanker,328,153,2008,2009,2010,2010,5457762546,8882470065,631,1198,1079,1088,1012,77762
Offshore,14,12,1985,1986,1992,1990,10723036,15093987,390,691,623,676,53,3958
Cruise,305,59,2005,2002,2008,2007,15557056898,1534078463,499,511,559,561,3341,257991
Service - tug,160,43,1996,1998,2002,2001,22042232,19860015,273,442,358,353,65,4917
Refrigerated bulk,62,18,2002,1997,1999,1999,725945523,785618983,672,1653,897,887,324,24698
Miscellaneous - fishing,3,1,1973,1973,1973,1973,236367,133489,83,83,86,86,0,20
Ferry-RoPax,155,1,1990,1990,1990,1990,1146364996,267068528,242,242,247,247,262,19916
