int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Chemical tanker,282,146,2007,2007,2009,2009,6286529583,10088250907,333,1562,1421,1441,1413,108272
Container,582,173,2005,2007,2009,2009,38005967796,47557172123,392,2014,1839,1814,4660,360795
General cargo,217,155,2006,2006,2009,2009,3925105739,5378016047,1133,1799,1902,1936,742,56901
Bulk carrier,355,310,2009,2009,2011,2011,34185390793,60292663188,2122,2739,3097,3139,2692,208365
Oil tanker,98,46,2005,2002,2011,2011,3979825075,7390109497,347,1451,1729,1774,755,57686
Vehicle,81,71,2010,2010,2010,2010,6834705428,2262919278,404,1367,1389,1394,388,30064
Refrigerated bulk,193,69,1994,1992,1994,1994,1033504721,1149600897,341,1130,843,829,784,59291
Miscellaneous - fishing,136,36,1983,1987,1994,1993,405833551,415380679,885,3630,3083,3209,261,19627
Service - tug,73,45,2005,2003,2008,2007,192609855,181944092,837,1553,1527,1583,150,11357
Liquefied gas tanker,82,32,2011,2011,2012,2012,2556264854,2915477662,600,1201,1333,1328,380,28816
Cruise,4,3,2002,2003,2002,2001,170095257,24098531,1674,1238,1451,1667,42,3233
Offshore,62,52,2005,2007,2007,2008,631505345,541322758,858,2342,1683,1711,373,28116
Service - other,32,26,2008,2008,2007,2007,397149183,302364223,445,2645,2966,3389,141,10724
Ro-Ro,103,24,2010,2009,2012,2012,16301377545,7930181736,3854,2920,3143,3231,1246,96234
