int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Container,582,173,2005,2007,2006,2006,7353283359,9511028269,236,386,356,363,1582,122275
Chemical tanker,282,146,2007,2007,2009,2009,5692891272,9118913117,281,1257,1287,1303,1638,125688
General cargo,217,155,2006,2006,2008,2008,3434563777,4597555167,1016,1595,1664,1655,751,57662
Bulk carrier,355,310,2009,2009,2011,2011,32777144979,57426641157,2528,2790,2969,2990,2919,225907
Oil tanker,98,46,2005,2002,2010,2010,3856014382,7169256075,370,2024,1675,1721,840,64387
Vehicle,81,71,2010,2010,2011,2011,11937946163,3961015042,3380,2405,2426,2440,706,54621
Service - tug,73,45,2005,2003,2009,2009,192649465,168345659,674,1845,1527,1465,143,10774
Liquefied gas tanker,82,32,2011,2011,2011,2011,2877025066,3154656445,350,1286,1501,1436,561,42211
Miscellaneous - fishing,136,36,1983,1987,1992,1991,474470317,525823776,1218,3926,3604,4062,306,22974
Refrigerated bulk,193,69,1994,1992,1996,1996,1326909614,1487683391,657,1253,1082,1072,983,74473
Cruise,4,3,2002,2003,1999,1999,120782816,17998858,1181,915,1030,1245,35,2702
Offshore,62,52,2005,2007,2009,2010,811064345,701121134,804,1587,2162,2216,366,27617
Service - other,32,26,2008,2008,2008,2008,435762828,293592292,320,2210,3254,3291,117,8858
Ro-Ro,103,24,2010,2009,2011,2011,1422051827,677932310,226,446,274,276,171,13210
