Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Bulk carrier,2731,1840,294038,531266,2010,2010,2011,2011,2202,2706,2875,2901,215,264,377,379,97,136,130,130,23814.7,1841384,1876739,149923436,346670153,423637805,54897,197853,236983
Oil tanker,812,537,127174,237259,2009,2009,2010,2010,1439,2537,3066,3122,176,260,641,652,39,77,83,83,12140.2,936050,954022,101785920,188744701,216187892,125352,320391,396108
Chemical tanker,771,551,32258,53126,2009,2009,2010,2010,1369,2045,2111,2132,139,189,326,327,39,66,58,58,5566.2,428669,436899,15802671,86477817,100538671,20496,130558,159425
General cargo,741,489,16828,24158,2007,2007,2007,2007,1451,1972,2355,2351,147,185,325,325,52,77,98,99,2847.5,218643,222841,15020232,49510023,71653885,20270,98848,133969
Liquefied gas tanker,363,221,79855,70087,2010,2010,2010,2010,1832,2730,3781,3679,153,220,417,405,37,66,84,83,8797.8,636809,649036,22615806,127831354,110798305,62302,407885,593034
Cruise,218,73,8815,864,1999,1999,2004,2003,324,433,568,561,20,31,52,51,10,33,15,15,1942.3,150000,152880,2408933,14608097,17128552,11050,58995,65259
Container,162,113,4625,5702,2004,2005,2007,2007,507,1266,1278,1287,52,114,283,287,17,32,26,26,743.7,57370,58472,4770139,15453254,17264064,29445,101594,119623
Refrigerated bulk,83,54,1816,1973,1995,1994,1996,1996,1709,2020,2378,2349,124,174,257,258,61,122,138,142,903.6,68712,70031,5854194,12791699,14408646,70532,150304,162283
Service - tug,27,22,70,63,2006,2004,2004,2004,1189,1429,1495,1524,184,217,325,312,51,222,322,294,65.3,4917,5011,1600762,3785321,5068340,59287,153091,206699
Ro-Ro,26,17,1230,668,2001,2002,2006,2005,1193,1817,2130,2083,103,143,234,233,27,44,57,57,181.0,13945,14213,741246,1567189,1643645,28509,67127,72428
Ferry-RoPax,26,10,239,57,1996,1999,2002,2002,328,870,653,577,22,85,107,104,20,56,104,95,64.5,4896,4990,357394,882408,1083723,13746,29359,26940
Service - other,15,15,296,372,2005,2005,2008,2009,2036,2258,2389,2424,209,229,306,293,47,461,1211,1597,99.2,7497,7641,2596529,5327507,5740712,173102,385181,434924
Vehicle,10,9,682,341,1999,1999,1997,1996,1144,1607,1732,2156,92,128,185,203,12,21,15,13,54.6,4212,4293,345202,1521971,1762597,34520,131211,141212
Miscellaneous - fishing,5,5,27,12,2006,2006,2017,2017,1726,2823,3249,3735,204,267,407,432,59,81,142,149,11.8,884,901,85762,190237,216280,17152,40367,47853
Other liquids tankers,2,2,115,162,2015,2015,2016,2016,2065,2065,2052,2065,178,178,223,224,100,100,77,76,13.4,1039,1059,83062,237167,511332,41531,143879,232493
