int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
General cargo,34,24,2000,2002,2004,2004,291754100,422137720,1045,1128,1185,1174,63,4783
Chemical tanker,46,33,2006,2009,2009,2009,1196205670,1953424044,1235,1600,1652,1657,199,15311
Container,132,29,2002,2003,2002,2002,3167515610,4018441719,967,1233,1328,1328,532,40873
Bulk carrier,35,19,1998,2004,2002,2002,957379484,1601076644,1707,2083,1918,1916,111,8565
Miscellaneous - fishing,14,9,1991,1994,1987,1987,22262744,20915827,1240,1577,925,928,16,1220
Liquefied gas tanker,12,4,2011,2011,2015,2014,141704184,168251607,420,951,1430,1415,36,2777
Service - other,4,4,1996,1996,1992,1991,22318165,25222564,1579,2358,1846,2741,47,3560
Ro-Ro,11,8,2003,2004,2004,2004,957217142,468218086,1610,1800,1607,1609,101,7837
Refrigerated bulk,3,3,1998,1998,1998,1998,37844193,38796074,1274,1280,1280,1280,21,1560
Service - tug,6,3,1996,1996,1997,1995,2151634,1528435,1464,1412,1423,1447,9,706
Cruise,5,5,1996,1996,2012,2011,79408035,8949514,112,320,412,373,21,1617
Oil tanker,1,1,2005,2005,2005,2005,52072058,86366425,1844,1844,1844,1844,7,512
