,imp_code_str3,imp_name,HS2,description,USD,tonne
80,112,Belarus,89," Cruise ships, excursion boats, ferry boats",745369.878,57.07684999999999
81,112,Belarus,80, Tin not alloyed unwrought,744259.655,86.432223
82,112,Belarus,92," Upright pianos, including auto-players",397470.47299999994,43.687805000000004
83,112,Belarus,81," Powders, tungsten (wolfram)",206537.269,22.322819999999997
84,112,Belarus,67," Bird skins and feathers, articles therefrom",146162.641,49.154313
85,112,Belarus,66, Garden and similar umbrellas,112879.60699999999,16.180123
86,112,Belarus,14, Bamboos used primarily for plaiting,24002.041999999998,698.6534359999999
87,112,Belarus,91," Wrist-watch, precious metal, battery, with hands",22762.957,1.285913
88,112,Belarus,46, Plaits and products of plaiting materials,18354.882,136.223363
89,112,Belarus,50, Silk-worm cocoons suitable for reeling,7994.743,0.24233
90,112,Belarus,01," Horses, live pure-bred breeding",11.588999999999999,0.000223
