,exp_code_str3,exp_name,HS2,description,USD,tonne
0,732,Western Sahara,39, Polyethylene - specific gravity <0.94 in primary form,89620.248,3.936506
1,732,Western Sahara,48, Newsprint,77247.462,101.2082
2,732,Western Sahara,23," Flour or meal, pellet of meat or offal for animal fee",57221.441,15.9
3,732,Western Sahara,84, Nuclear reactors,46791.915,37.072411
4,732,Western Sahara,94," Seats, aircraft",34650.705,7.8236300000000005
5,732,Western Sahara,95," Rideable wheeled toys, dolls carriages",34197.856,8.50911
6,732,Western Sahara,85, Electric motors of an output < 37.5 watts,29472.431,7.479690000000001
7,732,Western Sahara,88," Gliders, hang gliders",28529.271,1.46878
8,732,Western Sahara,34," Soaps, for toilet use, solid",17959.173,1.921052
9,732,Western Sahara,82, Spades and shovels,12086.08,0.6
10,732,Western Sahara,08," Coconuts, fresh or dried",2792.179,2.7649690000000002
11,732,Western Sahara,65," Hat-forms, etc of felt, not shaped, no formed brim",2341.546,0.001147
12,732,Western Sahara,90," Optical fibres, except for telecommunications",1935.426,0.036417
13,732,Western Sahara,72," Pig iron, non-alloy, <0.5% phosphorus",1197.484,0.443394
14,732,Western Sahara,49," Brochures, leaflets and similar, in single sheets",1013.27,0.1674
15,732,Western Sahara,63, Electric blankets of textile material,518.755,0.018444
16,732,Western Sahara,03," Ornamental fish, live",459.058,0.019583
