int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Vehicle,37,16,2004,2006,2006,2005,587208884,184349642,484,485,473,473,56,4281
Bulk carrier,139,77,2003,2008,2010,2010,3914962335,6165348624,1279,2199,2087,2076,515,39700
Liquefied gas tanker,37,3,1997,2003,2000,2000,72573575,77669406,422,539,516,512,47,3514
Chemical tanker,68,54,2008,2009,2008,2009,1904350256,3140516095,899,1254,1229,1230,357,27586
General cargo,386,96,1996,1999,2003,2003,1575946341,2193610342,634,1062,884,891,396,30174
Oil tanker,14,8,2004,2006,2004,2004,1121551716,1974725618,1061,3625,5794,6033,142,10957
Container,366,44,2006,2006,2006,2006,2541923765,3237157690,449,453,499,499,654,50353
Service - other,16,3,1980,1981,1977,1975,11275971,5753686,705,644,554,641,18,1376
Cruise,121,16,2010,2006,2011,2011,13724301466,1158964887,563,549,603,604,1829,141157
Ro-Ro,79,6,1977,1987,1977,1977,188857668,113123302,652,800,612,600,112,8478
Service - tug,19,14,1993,1990,1999,1998,3568443,2495536,749,496,589,583,10,769
Offshore,2,2,1981,1981,1983,1983,3410708,4584959,934,934,1290,1252,5,347
Refrigerated bulk,1,1,1996,1996,1996,1996,18423619,16803217,1611,1611,1611,1611,9,652
