int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Container,73,12,2004,2004,2004,2004,708767594,927522592,529,784,744,756,146,11235
Chemical tanker,39,2,2010,2010,2010,2010,101380246,148377374,545,551,724,724,45,3443
General cargo,70,11,2003,2003,2004,2004,382620296,423598369,511,572,566,569,72,5520
Cruise,16,12,1996,1998,1997,1997,851150964,90181048,765,1051,927,932,186,14434
Ferry-RoPax,3,2,2004,2000,2010,2010,647199,237957,0,106,198,192,1,60
Ro-Ro,1,1,1979,1979,1979,1979,9064,7515,15,15,15,15,7,533
Yacht,1,1,1968,1968,1968,1968,560881,312831,1154,1154,1154,1154,1,55
Liquefied gas tanker,13,1,2012,2012,2012,2012,54534043,53927627,555,555,833,833,15,1184
Ferry-pax only,2,1,2016,2016,2016,2016,357063,54145,732,732,732,732,1,42
Service - other,1,1,1982,1982,1982,1982,645435,206121,46,46,46,46,0,8
