Int. Dep. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Rajaei,1323,516,52362,68566,2002,2005,2007,2007,306,1436,1539,1534,47,148,292,303,23,50,34,38,6103.7,471487,480540,40727229,100721727,118977416,30784,99379,117890
Lengeh,776,143,3707,5900,2004,2002,2001,2002,117,738,1210,1110,17,83,335,319,21,89,45,49,771.9,58755,59883,2855658,10178622,9382770,3680,13164,17800
Amirabad,696,142,1282,1535,1995,1991,1997,1997,427,495,524,519,67,83,188,187,56,71,182,180,406.3,30626,31214,3647981,10501047,14753825,5241,18371,25073
Asaluyeh,554,220,22862,38677,2000,2001,2007,2007,275,1434,2331,2460,37,180,717,768,39,74,101,106,2141.2,165369,168544,13350215,35598171,37719870,24098,88247,116899
Queshm,529,288,13361,19296,2001,2002,2006,2006,277,1044,1388,1362,41,121,332,355,25,93,59,66,1884.0,145206,147994,11002664,27821268,31962689,20799,68171,81960
Bushehr,522,136,4442,7752,1994,1997,2005,2006,266,715,1436,1704,40,165,354,375,52,74,81,84,756.1,57753,58861,4599591,10235600,11801215,8811,24011,29244
Lavan,518,234,10690,19227,2002,2002,2006,2006,202,781,1242,1263,40,107,430,434,24,74,78,79,1049.0,80777,82328,7296633,16286165,18071681,14086,42000,53892
Abu Musa,517,331,20332,33165,2004,2004,2009,2009,157,827,1898,1911,25,103,1116,1211,31,93,89,97,1995.1,148137,150981,11168042,26536469,28403222,21602,70766,91791
Sirri,500,264,7781,14268,2003,2001,2005,2005,200,749,1496,1644,48,147,367,377,30,109,88,88,804.2,61859,63047,5814350,12495727,14863170,11629,34546,43911
Tombak,488,102,6752,12783,2007,2000,2007,2008,114,942,1988,2062,18,154,610,613,25,95,55,53,715.0,54905,55959,4281562,9500391,9703622,8774,24558,30816
Khark,471,269,154861,295513,2005,2005,2008,2008,1923,2928,3707,3719,214,284,557,558,40,69,68,68,10905.7,844576,860792,83311460,150111716,162277451,176882,477204,590158
Bandar Abbas,468,96,738,1029,2002,2001,2004,2007,135,456,497,747,17,99,212,243,10,72,51,51,393.4,29735,30306,930491,3511875,3071786,1988,6132,7724
Kish,427,285,25726,42178,2004,2004,2007,2008,249,1104,2032,1953,33,127,748,784,40,93,210,171,2548.1,187835,191442,12905536,32161124,33134512,30224,101545,133611
Soroosh,395,256,24389,45859,2003,2004,2009,2009,252,1036,1837,1919,40,129,460,466,33,82,65,64,1852.8,143222,145972,14103224,27143081,30062451,35704,102021,126774
Anzali,368,117,423,546,1988,1989,1990,1990,422,453,452,455,67,81,143,148,45,80,165,165,140.9,10606,10810,1627622,4400950,6283846,4423,14433,20396
Bandar Khomeyni,336,167,6194,10231,1998,2001,2003,2004,500,1044,1193,1188,54,165,279,279,30,70,102,102,882.9,68038,69345,5415927,14102833,16574453,16119,61536,77265
Bandar Imam Khomeini,264,189,7288,12893,2004,2005,2008,2008,601,929,1019,1022,53,101,315,318,21,57,95,94,719.6,55620,56688,4118798,10701221,13110446,15602,63258,77862
Hengam,198,154,7457,12542,2001,2003,2006,2006,358,1079,1717,1806,41,101,348,355,28,78,173,182,795.9,61377,62555,4796957,11801472,13011494,24227,83430,107578
Jask,175,138,18569,33215,2004,2004,2005,2005,1295,2081,2807,2949,157,204,540,561,29,86,80,82,1603.4,124047,126429,11785014,27131474,31035952,67343,216437,266568
Nowshahr,141,69,187,225,1990,1990,1991,1991,448,520,493,497,64,107,133,132,47,84,124,129,54.0,4072,4150,647684,1862602,2664794,4594,15343,21715
Khorramshahr,132,45,75,92,1993,1992,1996,1997,185,354,402,386,26,94,98,109,21,147,125,120,83.2,6268,6388,337625,929786,1218544,2558,7541,10366
Abadan,105,48,308,544,1993,1993,2004,2005,376,566,1550,1780,53,148,210,217,23,168,37,29,64.3,4875,4969,452826,1066217,1375871,4313,12254,16104
Chabahar,102,54,1839,3027,2002,2002,2002,2002,566,810,834,806,56,98,220,221,20,84,108,101,240.6,18495,18851,1483612,3929094,4846249,14545,53790,68427
Astara,96,25,57,78,1988,1990,1989,1989,179,377,368,363,27,64,120,122,110,102,117,122,21.8,1642,1673,226676,646796,924744,2361,7853,11139
Bandar Khomeini,52,34,2705,3687,2002,2002,2000,2000,683,1876,2088,1852,102,171,335,321,29,46,50,49,361.6,27937,28474,1881440,6724012,7005025,36182,183532,248925
Mahshahr,48,17,1597,2948,2005,2005,2002,2002,620,878,1165,1179,62,114,248,249,33,117,70,69,202.1,15641,15942,1564482,3391269,3753819,32593,82606,102869
Hormuz,30,28,3668,6864,2004,2004,2011,2012,700,2094,3373,3514,58,203,512,514,35,86,62,61,247.3,19113,19480,1949434,3642472,4212822,64981,198430,251198
Ganaveh,30,17,82,138,1998,1998,2001,2001,342,737,1416,1427,69,165,388,389,54,119,66,67,45.2,3413,3479,124202,453872,478530,4140,14537,19515
Qeshm Island,28,15,153,248,2007,2007,1998,1998,557,1139,1684,1754,298,878,400,421,23,41,18,18,220.6,16608,16927,221866,867138,792169,7924,29183,38258
Imam Hasan,3,3,204,402,2014,2014,2009,2009,733,732,1248,1251,158,188,158,158,41,1027,44,42,17.9,1368,1394,98286,167139,175211,32762,88657,111091
Bandar Mashur,2,2,29,48,2011,2011,2016,2016,2768,2768,446,439,734,734,122,98,72,72,128,130,12.2,941,959,61124,138258,172965,30562,77387,101496
Bandar Amirabad,2,2,6,8,2002,2002,2001,2001,801,801,677,693,540,540,617,639,78,78,78,78,1.8,138,140,19302,55705,79179,9651,33374,46177
