Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Service - tug,1581,149,360,344,2004,2001,2002,2000,135,597,263,265,29,238,560,572,29,178,277,248,509.9,38284,39019,8793617,20794256,27842385,5562,14362,19391
Oil tanker,893,162,27354,49852,1999,2002,2004,2004,423,541,596,593,38,93,171,174,28,125,152,152,3759.0,290218,295790,22782859,43928153,48432278,25513,67211,83124
Ro-Ro,793,60,205,278,2002,2007,2003,2005,162,685,302,296,21,136,305,337,25,84,130,155,835.4,62854,64061,995477,7645117,3614118,1255,3063,4361
General cargo,764,159,2390,3457,1994,1994,2000,1999,378,598,666,672,40,114,340,391,43,143,127,126,561.6,42624,43442,2891755,9144504,13273433,3785,16294,22701
Container,341,34,2620,3367,2006,2004,2006,2006,414,762,601,587,38,73,298,275,27,47,90,88,577.7,44181,45029,3057912,10637848,11931407,8967,32969,39268
Chemical tanker,274,76,2226,3528,2001,2004,2004,2004,335,509,459,457,30,51,92,91,36,42,80,80,560.0,43116,43944,1455413,6584736,7713348,5312,27650,33592
Bulk carrier,261,115,6015,10360,2005,2004,2006,2006,489,548,711,700,47,89,221,223,91,113,162,161,661.3,51205,52188,3755851,8253812,10164660,14390,50663,60047
Service - other,240,26,226,216,2009,2002,1993,1992,310,1201,1717,1817,45,467,1543,1832,40,95,1053,751,264.4,19854,20235,1506925,3091880,3331688,6279,13972,15776
Ferry-RoPax,57,6,51,25,1992,1993,1992,1995,208,926,312,466,13,40,207,235,19,60,177,130,64.9,4875,4968,568208,1249823,1644879,9969,22141,30274
Other liquids tankers,54,1,4,10,1944,1944,1944,1944,125,125,163,163,20,20,82,82,36,36,124,124,100.4,7775,7924,4939,14104,30408,91,317,512
Liquefied gas tanker,53,22,885,1006,1996,1996,1998,1998,345,473,672,677,27,49,92,93,24,42,35,35,128.6,9890,10080,318324,1822494,1609797,6006,46139,68696
Miscellaneous - fishing,46,9,112,78,1994,1994,1999,2000,818,2931,3107,3708,260,674,2001,2181,74,197,593,640,85.4,6410,6533,548030,1215636,1382055,11914,28038,33238
Ferry-pax only,24,2,37,8,1992,1994,1990,1990,3196,2960,7253,7440,65,352,1209,1202,74,140,188,186,23.5,1761,1795,630453,1283976,1617413,26269,61087,80533
Refrigerated bulk,4,2,14,15,1986,1993,1991,1990,1049,1049,685,713,148,147,158,168,307,307,488,520,35.5,2673,2724,43953,96039,108179,10988,23416,25282
Vehicle,1,1,2,1,1983,1983,1983,1983,138,138,138,138,14,14,14,14,38,38,38,38,0.5,40,41,543,2394,2773,543,2064,2221
