Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
General cargo,2702,451,11736,16182,1993,1995,2001,2001,519,914,1025,1039,62,108,255,263,62,99,125,128,2390.1,181910,185403,16647044,51330374,73825119,6161,25320,34861
Oil tanker,1750,599,129101,244829,2002,2005,2007,2007,469,1186,1315,1328,50,146,339,340,36,58,58,57,10343.4,799299,814646,85127975,149056489,164298445,48645,129829,160487
Ro-Ro,1517,85,1479,1454,2008,2006,2013,2012,138,517,858,668,17,82,147,161,33,66,69,82,1371.7,103392,105378,2555916,12996808,7595391,1685,4044,5120
Service - tug,1306,234,300,289,2003,2003,2002,2001,151,364,309,317,40,144,369,379,15,68,174,184,324.1,24343,24810,7394288,17485265,23411825,5662,14620,19739
Bulk carrier,960,506,49503,88077,2005,2006,2007,2007,725,1698,1709,1738,92,202,492,502,110,121,154,155,4595.5,355729,362559,27896185,65971794,80631323,29059,109409,131221
Container,774,134,35261,41652,2002,2004,2006,2006,383,1099,1255,1288,33,89,230,232,26,30,71,71,5238.1,405343,413125,33367741,94467843,104849587,43111,131965,152648
Chemical tanker,516,234,9538,15340,2004,2005,2004,2004,507,1064,1078,1078,56,127,278,280,32,58,101,105,1726.9,132952,135504,6463029,28979434,33991963,12525,64661,78636
Ferry-RoPax,214,8,261,89,1991,1997,1989,1992,211,3824,278,358,14,263,218,454,17,90,128,88,236.8,17821,18163,1411182,3165100,4116327,6594,14556,18886
Liquefied gas tanker,201,89,12694,13855,1999,2005,2001,2001,1067,2016,2034,2072,93,200,360,371,36,71,76,80,1590.8,120883,123204,4920758,25586221,23059958,24481,171888,250428
Service - other,149,40,183,155,1999,2002,1997,1995,265,730,475,474,31,229,1516,1346,77,194,207,225,148.1,11134,11347,1078989,2213849,2385556,7242,16114,18195
Refrigerated bulk,41,9,466,488,2004,1999,2000,2000,292,2300,893,976,14,144,210,218,68,482,94,95,296.4,22545,22977,1447736,3163374,3563243,35311,75247,81244
Ferry-pax only,29,2,21,2,1992,1980,1991,1991,555,4108,1215,1224,18,2667,477,519,36,41,93,93,33.3,2496,2544,157173,320097,403223,5420,12603,16615
Vehicle,22,17,649,221,2003,2005,2006,2006,367,618,571,570,25,42,80,80,10,14,15,15,41.6,3224,3286,223528,985517,1141329,10160,38619,41563
Other liquids tankers,11,2,0,1,1953,1969,1951,1949,79,80,88,88,12,30,18,17,22,17,41,43,8.8,679,692,500,1427,3077,45,157,254
Miscellaneous - fishing,7,7,90,74,1993,1993,2004,2003,535,4726,12114,13456,630,806,1791,1761,39,207,85,99,53.3,4005,4081,522062,1158035,1316568,74580,175521,208070
Cruise,1,1,122,12,2009,2009,2009,2009,887,887,887,887,27,27,27,27,26,26,26,26,19.2,1484,1512,-6552,128944,189720,-6552,113857,164175
