Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
General cargo,2716,455,12005,16625,1993,1995,2003,2003,373,847,1044,1065,53,98,290,292,48,78,87,85,2251.0,171702,174999,13959127,44078535,63650251,5140,22381,30770
Oil tanker,1781,609,276061,526854,2002,2005,2008,2008,423,2012,2735,2779,59,204,615,619,43,87,83,83,20365.9,1575721,1605974,155649151,272985673,294867757,87394,233869,289728
Ro-Ro,1531,84,409,511,2008,2007,2008,2009,118,299,230,229,17,153,143,185,17,46,146,192,1355.9,101990,103948,1452585,10213659,5034493,949,2306,3193
Service - tug,1326,240,259,248,2003,2003,2004,2003,140,384,264,269,33,221,487,489,20,102,168,175,322.2,24203,24668,6355451,15028730,20122657,4793,12376,16710
Bulk carrier,969,509,40828,71348,2005,2006,2007,2007,569,1392,1413,1412,56,150,364,365,24,52,67,67,3679.2,284808,290277,25649990,57612634,72034104,26471,95472,114029
Container,771,134,37497,42229,2002,2004,2006,2006,415,1105,1335,1308,45,82,220,220,19,25,23,24,4754.8,367840,374903,33144324,90207829,100441529,42989,128587,148458
Chemical tanker,522,239,7394,11749,2003,2005,2005,2005,386,944,818,809,49,117,260,256,37,82,67,66,1642.3,126356,128782,5227419,22912621,26989040,10014,50465,61544
Ferry-RoPax,213,8,181,54,1991,1997,1988,1990,158,1261,193,217,14,131,126,119,10,49,39,55,151.4,11396,11615,602195,1387635,1775432,2827,6186,7403
Liquefied gas tanker,204,90,22000,22287,1999,2004,2003,2002,944,3002,3456,3286,142,240,511,472,28,87,164,133,2967.4,214279,218393,7123333,40456198,35735488,34918,263473,391076
Service - other,149,38,148,166,1999,2001,1998,1998,149,871,452,585,35,161,321,278,20,144,299,320,130.9,9855,10044,1158483,2376952,2561310,7775,17301,19535
Refrigerated bulk,44,12,476,479,2004,1998,2002,2002,480,1673,872,907,32,168,199,202,11,54,22,23,212.6,16212,16523,1421082,3105132,3497640,32297,68825,74311
Ferry-pax only,29,2,13,1,1992,1980,1992,1992,397,1405,773,776,6,432,49,53,20,115,90,91,17.3,1301,1326,99623,202892,255581,3435,7989,10532
Vehicle,22,17,2792,920,2003,2005,2009,2009,626,2561,2457,2377,88,192,365,363,11,28,22,22,171.8,13302,13557,931816,4108309,4757841,42355,160992,173263
Other liquids tankers,11,2,1,1,1953,1969,1956,1953,108,135,103,100,18,22,28,28,25,88,71,61,6.0,466,475,570,1628,3510,52,180,290
Miscellaneous - fishing,7,6,7,5,1994,1994,2003,2003,371,717,978,937,105,254,561,575,13,55,17,15,5.3,394,402,35336,78383,89113,5048,11880,14083
Cruise,1,1,55,5,2009,2009,2009,2009,402,402,402,402,30,30,30,30,8,8,8,8,7.9,614,626,-2972,58483,86048,-2972,51640,74463
