Domestic by Dep. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Puerto De Haina,226,79,485,680,2008,2007,2008,2008,196,229,230,230,22,132,43,36,19,51,48,48,163.8,12501,12741,571896,1821395,2180805,2531,10207,12816
Azua,126,24,234,267,2008,2008,2009,2008,137,238,228,224,33,191,540,528,32,41,61,59,139.5,10633,10837,187377,614617,655886,1487,7914,10745
Puerto Plata,70,34,428,522,2007,2005,2007,2007,317,375,340,345,24,307,30,27,18,115,46,56,161.1,12296,12533,436908,1636376,1926997,6242,25942,31824
Santo Domingo,66,27,122,67,2007,2001,2012,2003,107,156,83,105,32,179,127,347,22,108,27,45,92.4,7023,7158,110514,328163,371020,1674,5241,5951
San Pedro De Macoris,56,29,75,96,2008,2006,2010,2010,105,195,118,118,28,114,47,39,27,69,74,61,35.6,2714,2766,71631,242728,271961,1279,5578,7604
Caucedo,44,31,108,133,2009,2008,2009,2009,91,199,94,91,17,281,129,61,10,40,46,49,50.0,3798,3871,121895,366033,420184,2770,9107,10884
Puerto Viejo,38,17,50,54,2004,2003,2008,2008,122,176,226,207,68,153,219,200,38,54,30,29,19.2,1452,1480,47675,140068,162819,1255,6048,7952
Puerto Palenque,29,25,130,183,2008,2008,2009,2010,106,294,161,158,26,45,141,131,21,68,58,54,43.6,3356,3421,138966,411340,498337,4792,19264,24193
Barahona,27,15,34,38,2002,2001,2007,2007,137,325,260,239,55,306,153,133,42,314,117,104,16.4,1234,1258,45550,126211,158204,1687,7087,9466
Bani,11,9,9,12,2001,2000,1999,1999,85,129,110,112,18,23,36,37,22,28,20,21,3.3,248,253,14993,39253,45301,1363,5476,7072
La Romana,9,5,6,10,2013,2011,2011,2011,139,357,244,245,182,256,55,28,64,224,62,37,4.8,361,368,11109,35021,44488,1234,4374,5701
Catalina Island,5,4,5,4,2002,2000,2007,2006,50,65,48,81,14,10,14,13,9,15,27,32,4.5,345,352,5302,23240,21603,1060,3961,4701
Cabo Rojo,3,3,9,11,2003,2003,2014,2013,215,211,231,227,31,44,32,33,21,22,33,32,1.8,140,142,9631,28383,35462,3210,15316,20650
Punta Cana,3,2,6,1,2011,2010,2009,2009,211,214,185,186,52,32,12,14,40,37,22,23,2.4,188,191,2045,14898,19697,682,4199,4978
Cayo Levantado,2,2,16,2,2000,2000,2009,2009,177,177,228,229,26,26,37,37,12,12,14,14,6.6,508,518,13043,44054,42439,6521,19733,17950
Ocoa Bay,1,1,5,5,2007,2007,2007,2007,680,680,680,680,47,47,47,47,7,7,7,7,1.1,85,87,9276,27211,37526,9276,37163,46858
Manzanillo,1,1,11,17,2010,2010,2010,2010,497,497,497,497,43,43,43,43,6,6,6,6,1.4,105,107,6240,22782,33638,6240,37332,50981
