Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Container,1555,251,74632,87184,2008,2007,2009,2009,809,1442,1466,1444,62,109,178,177,14,17,16,16,9524.2,735800,749927,63628357,186665351,209936554,40919,132923,155084
General cargo,434,143,3921,5465,2000,2005,2008,2008,740,1500,1567,1532,86,137,389,382,21,80,78,78,763.1,58481,59604,4707449,14793268,21166806,10847,47865,64380
Chemical tanker,323,151,5399,8792,2008,2010,2010,2010,635,1202,1079,1088,55,110,142,143,30,40,40,40,985.9,75812,77267,3660834,16605020,19531952,11334,59078,72092
Cruise,303,59,15512,1530,2005,2002,2008,2007,505,511,562,564,37,46,53,54,8,23,9,9,3331.5,257284,262224,2208042,22034923,27825045,7287,64183,77628
Bulk carrier,257,187,9828,15970,2005,2009,2009,2009,1448,2002,1846,1842,130,186,259,260,79,90,85,84,1107.0,85333,86971,6714667,15599226,21267230,26127,99064,121613
Liquefied gas tanker,227,55,9101,9212,2005,2009,2009,2009,773,1694,1601,1546,71,146,289,270,32,53,150,129,1318.9,94177,95985,3505498,17196349,15840074,15443,108752,157658
Vehicle,156,81,12015,4123,2004,2007,2007,2007,696,1512,1604,1645,58,103,372,389,8,9,9,9,775.1,59932,61083,4174703,18405964,21315983,26761,101718,109471
Ferry-RoPax,154,1,1146,267,1990,1990,1990,1990,242,242,248,248,15,15,15,15,9,9,16,16,260.6,19843,20224,1659103,4102830,5034199,10773,22997,20945
Service - tug,143,28,22,20,1995,1994,2001,2001,278,653,387,367,39,306,414,274,16,26,27,26,61.2,4607,4696,504070,1191974,1595989,3525,9102,12289
Ro-Ro,102,10,87,123,1977,1985,1979,1979,302,371,350,334,30,43,64,58,11,92,46,46,94.5,7104,7241,398284,2952997,1419131,3905,9512,13391
Oil tanker,79,50,4943,8766,2008,2009,2010,2010,1553,2218,2512,2578,137,231,398,405,28,42,46,46,578.7,44578,45434,5772658,11863206,13280453,73072,195913,241589
Refrigerated bulk,61,17,701,761,2002,1997,1999,1999,672,1612,878,870,37,97,111,109,40,30,32,32,313.9,23958,24418,2258685,4935337,5559193,37028,78905,85194
Service - other,14,11,32,30,1999,1997,1993,1998,763,1667,764,614,108,568,728,1185,32,781,1446,1480,37.1,2785,2838,206031,422730,455517,14716,32747,36976
Miscellaneous - fishing,3,1,0,0,1973,1973,1973,1973,83,83,86,86,29,29,27,27,19,19,19,19,0.3,20,21,939,2082,2367,313,736,873
