Int. Dep. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
United States of America,888,333,29349,30852,2005,2008,2008,2009,994,1621,1336,1459,84,163,259,248,22,61,40,50,4993.8,377308,384552,19689852,72556147,82923360,22173,94720,120699
Puerto Rico,465,78,3119,2552,2001,2006,2001,2005,250,324,288,330,20,34,40,60,13,29,21,28,636.2,48484,49415,3498050,10258506,12086716,7523,22038,24168
Haiti,336,82,2009,2364,2001,2002,2005,2005,465,487,512,512,37,52,54,57,18,42,25,28,445.0,34202,34859,2529977,8440249,9806029,7530,27664,33526
Jamaica,331,120,5215,4995,2007,2008,2008,2007,482,531,510,513,35,54,52,64,19,34,22,27,903.6,69841,71182,4584213,15400619,17045307,13850,48587,55787
Colombia,320,165,8343,8846,2008,2009,2011,2011,611,690,671,688,46,72,67,74,12,37,20,26,1054.0,81475,83039,5890317,17852856,20683622,18407,63683,74435
Trinidad and Tobago,169,72,2427,2642,2009,2007,2009,2009,706,744,754,746,67,111,90,92,23,72,81,80,499.0,36740,37446,1756077,6818399,7509764,10391,47739,62725
Virgin Islands (U.S.),126,33,1617,503,1996,2002,2008,2003,346,427,392,431,32,43,25,47,7,26,11,27,394.2,29998,30574,488871,4176785,4027519,3880,24025,32403
Panama,103,34,2714,3231,2004,2005,2010,2010,819,836,860,854,66,112,108,100,47,131,198,159,527.1,40495,41272,2265301,6454023,7268600,21993,75637,91433
Brazil,99,54,19213,22159,2006,2007,2006,2006,3948,3176,3523,3514,233,274,251,261,17,46,25,27,2113.8,163691,166834,16646362,40856999,45824364,168145,470562,539135
Turks and Caicos Islands,75,24,579,64,1987,1997,2002,1999,163,354,183,187,27,147,21,48,20,21,8,14,177.0,13599,13860,158752,1057670,1218339,2117,11851,14508
