Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Container,3526,689,378318,416724,2006,2007,2010,2010,1319,1847,1918,1874,90,127,200,199,19,22,21,21,37788.5,2924175,2980320,227435666,641191436,737119586,64502,219354,260413
Bulk carrier,971,690,59388,104055,2008,2009,2010,2010,1296,2147,2001,1995,137,253,445,445,15,42,43,42,5240.7,405533,413319,33819814,79586815,100594722,34830,131197,158469
Oil tanker,464,381,80637,150887,2007,2007,2007,2007,1699,2316,2275,2271,172,250,328,326,11,60,55,54,5655.8,437679,446083,57511611,108008687,120600569,123947,323886,399998
Chemical tanker,324,223,11615,19027,2007,2008,2007,2007,1529,1713,1822,1822,136,165,217,218,15,46,54,54,1809.3,139676,142358,6914781,33637824,39332589,21342,119870,146093
Liquefied gas tanker,251,122,11875,12926,2009,2008,2008,2008,1495,2181,2229,2212,116,212,301,303,27,60,48,49,1581.9,117075,119323,4605045,23860134,21642698,18347,133151,194888
Vehicle,249,158,20164,6809,2007,2007,2007,2007,1424,1485,1456,1475,89,99,147,152,9,11,11,11,1296.1,100395,102323,6894933,30399260,35205441,27690,105252,113274
General cargo,186,146,5245,6575,2002,2003,2001,2002,1472,1910,2059,2012,146,204,420,414,22,78,60,66,871.1,66942,68227,3414033,11615426,16854511,18355,96575,130016
Service - tug,75,60,177,126,2004,2007,2013,2011,1253,1476,2045,1739,223,474,733,852,14,87,45,61,148.8,11197,11412,3227833,7632854,10219978,43038,111131,150046
Cruise,57,44,4002,453,2001,2001,2002,2001,1148,1302,1241,1217,65,101,139,136,12,28,14,15,919.8,71206,72573,1703064,8698782,9978849,29878,133703,142513
Service - other,34,29,808,679,2001,2000,2003,2003,1959,3237,3277,3164,317,465,953,1069,42,188,93,86,296.0,22536,22969,4737818,9720962,10474925,139348,310072,350115
Miscellaneous - fishing,8,7,42,21,2004,2003,2000,1994,3862,4371,3302,3935,354,473,584,746,14,21,30,22,27.4,2056,2095,145211,322107,366203,18151,42719,50640
Ro-Ro,5,1,45,14,1994,1994,1994,1994,391,391,668,668,25,25,68,68,12,12,15,15,7.9,610,622,52564,405249,191233,10513,25656,36573
Refrigerated bulk,3,3,40,43,1991,1991,1990,1991,1486,2153,2711,2734,140,686,1432,1444,0,1,2,2,38.4,2896,2952,129038,281954,317595,43013,91660,98965
Ferry-RoPax,1,1,80,18,1990,1990,1990,1990,3023,3023,3023,3023,187,187,187,187,13,13,13,13,15.6,1203,1226,114364,282813,347013,114364,244121,222343
Other liquids tankers,1,1,84,95,2009,2009,2009,2009,2728,2728,2728,2728,219,219,219,219,8,8,8,8,8.8,679,693,48920,139681,301152,48920,169476,273856
