Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
General cargo,119,10,711,1104,1999,2003,1999,1999,296,460,771,740,32,62,498,478,53,59,53,56,195.4,14900,15186,426713,1549161,2284307,3586,21237,28972
Oil tanker,86,23,511,914,1992,1999,2002,2003,386,487,419,413,181,233,278,267,31,83,165,162,391.2,29591,30159,788615,854811,971777,9170,25202,31401
Bulk carrier,47,29,793,1372,2009,2008,2010,2010,270,521,647,649,28,107,288,292,11,18,71,71,72.6,5608,5715,592741,1219004,1534297,12612,41832,49219
Container,27,19,169,216,2003,2003,2002,2002,151,194,230,239,16,45,129,133,9,11,11,11,39.6,3034,3092,183387,642052,729879,6792,25916,31208
Service - tug,27,14,26,25,2001,2007,2003,1998,353,1598,889,827,73,1080,2904,2435,32,244,421,336,37.2,2791,2844,642388,1519054,2033931,23792,61436,82948
Chemical tanker,18,15,404,668,2008,2008,2008,2008,526,600,893,893,88,88,232,232,50,80,52,52,86.7,6692,6821,141920,970648,1121257,7884,63402,77841
Cruise,16,8,64,7,2001,1999,1998,1998,132,188,186,181,13,16,22,21,10,10,11,11,17.3,1337,1363,20968,161946,236923,1310,8739,11575
Vehicle,10,10,93,31,2003,2003,2004,2004,163,171,171,171,12,15,16,16,10,22,27,28,7.9,612,624,31242,137745,159523,3124,11875,12780
Liquefied gas tanker,9,9,57,72,2003,2003,1996,1997,252,251,268,280,39,54,97,102,28,44,29,30,15.9,1221,1244,28278,135484,125653,3142,21846,31539
Service - other,8,6,29,22,2004,2007,1995,1994,232,756,926,1097,68,111,287,296,36,57,136,142,16.9,1269,1293,153648,315251,339702,19206,42736,48256
Miscellaneous - fishing,2,1,9,3,2017,2017,2017,2017,1233,1233,1233,1233,173,173,200,200,29,29,23,23,2.3,170,173,18237,40453,45991,9118,21460,25439
