Domestic by Arr. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Patillos,97,56,1247,2090,2012,2012,2012,2012,379,636,684,680,77,108,114,114,47,78,69,70,144.1,11113,11326,732994,1795592,2349716,7557,29631,36417
Queilen,84,30,30,50,1984,1988,2001,2004,103,187,272,314,19,38,75,75,5,9,5,3,14.2,1066,1087,74329,206667,241588,885,2548,3361
Coquimbo,71,62,567,498,2003,2005,2006,2011,246,311,328,330,26,39,41,52,57,70,49,82,155.2,11917,12146,387468,1215534,1477319,5457,19997,23355
Coloso,68,45,672,1163,2009,2011,2012,2012,308,493,471,476,63,170,144,140,108,117,118,118,105.8,8149,8305,446044,1012690,1234732,6559,22676,27123
Guayacan,65,27,644,1074,2008,2007,2012,2012,243,419,385,382,52,86,81,79,28,26,29,29,150.2,11617,11840,257575,1576673,1826498,3963,28934,35578
Penco,61,35,221,357,2011,2011,2010,2010,105,250,270,265,63,81,87,88,14,50,80,80,54.1,4172,4252,158975,491382,601026,2606,10837,13295
Puerto Sara,58,11,147,240,2010,2008,2013,2013,99,1203,460,464,100,365,256,244,14,301,118,102,103.8,7947,8099,159282,593891,730934,2746,11595,14925
Chacao,58,16,10,7,2007,2001,2009,2008,74,212,149,166,9,65,132,104,7,22,32,28,17.3,1299,1324,122772,273547,355711,2117,4916,6791
Chacabuco,55,12,28,12,1982,1977,1984,1978,388,305,377,353,56,64,65,79,16,10,15,12,33.8,2541,2590,246458,347508,386120,4481,7711,9787
Pecket,52,16,1587,3021,2001,2000,2005,2005,1237,834,1553,1561,128,134,184,184,44,59,58,58,119.6,9216,9393,730887,2081368,2421593,14056,59687,73653
Puerto Yartou,49,5,39,6,2012,2006,2009,2010,130,325,168,163,14,22,18,17,8,16,13,12,14.4,1085,1106,64436,227235,362403,1315,4610,7054
Tortel,48,9,50,11,2007,2001,2005,2006,167,623,487,403,19,105,76,131,16,8,6,10,33.9,2556,2605,173764,447655,603129,3620,9306,12885
Huasco,48,29,1146,2076,2008,2009,2007,2007,527,783,769,772,46,278,147,144,77,106,136,139,118.8,9164,9339,534376,1515667,1909842,11133,49359,61663
Puerto Castro,47,23,173,31,1989,1994,2002,1993,262,277,393,425,44,38,63,149,11,25,9,19,52.6,4038,4115,110998,530022,692481,2362,10229,12455
Isla Guarello,43,15,25,36,1997,1994,1998,1998,313,455,347,335,65,65,104,98,14,41,50,49,21.2,1593,1624,101033,261868,350034,2350,6950,9330
Tocopilla,42,20,385,619,2000,2010,2011,2011,167,690,592,656,47,88,120,126,5,170,204,212,53.4,4108,4187,237797,551838,676736,5662,20213,24201
Mejillones,41,36,1007,1245,2009,2009,2010,2010,624,496,507,520,44,53,63,72,7,43,20,24,106.0,8195,8352,624612,1616734,1966737,15234,53700,64990
Curaco De Velez,40,13,13,14,2000,1996,2008,2009,70,109,312,308,11,17,220,215,1,5,2,2,8.6,649,661,91202,205410,234583,2280,5426,6489
Puerto Chanaral,34,24,214,334,2007,2005,2010,2011,250,285,294,302,22,51,64,67,17,20,23,23,54.5,4213,4294,122690,561143,679239,3609,19900,24635
Lebu,31,11,48,57,1995,1995,1995,1996,525,1222,1210,1220,54,304,1184,1210,11,12,13,14,41.0,3080,3139,400837,889133,1010855,12930,30431,36074
Port San Juan De La Juan,28,12,25,23,1990,1993,1980,1980,499,2519,1412,1408,86,228,857,815,16,536,1907,1490,50.0,3753,3825,139046,321464,400605,4966,12181,15693
Michilla,27,15,191,321,2008,2010,2012,2012,415,499,542,543,177,169,191,190,30,40,58,59,29.7,2277,2321,173272,368155,473553,6417,20603,24878
Barquito,27,20,135,211,2007,2008,2010,2010,422,598,414,415,56,315,99,89,49,84,94,96,49.9,3820,3894,143697,421334,560202,5322,21244,26893
Saavedra,24,13,66,75,1994,1994,1995,1996,375,2121,2195,2335,35,559,2246,2426,3,5,5,4,63.3,4750,4841,526408,1167675,1327528,21934,51620,61192
Caleta Patillos,24,19,344,615,2009,2012,2014,2014,288,504,480,498,45,63,74,74,52,68,99,99,31.8,2459,2506,151859,403906,469936,6327,26186,31657
Isla De Pascua,21,7,162,106,1989,1993,1999,1996,2134,2099,2067,2128,309,417,290,419,125,105,78,144,62.4,4756,4847,426862,592055,855442,20327,61335,81215
Puerto De Corral,19,10,65,65,1997,1998,1998,1998,483,1745,1726,1466,55,294,2865,2669,18,21,14,16,26.1,1962,2000,426080,947529,1079323,22425,53097,63038
Pisagua,15,3,3,4,1991,1995,1998,1999,104,179,94,92,10,21,16,15,5,6,2,2,2.4,184,187,11256,27970,31398,750,1948,2300
Cabo Negro,13,8,135,199,2011,2010,2012,2012,360,808,1263,1357,160,146,181,183,8,41,77,75,31.5,2421,2468,117764,438163,516531,9059,41775,52092
Bahia De Valdivia,12,5,9,13,1996,1996,1996,1996,288,489,567,592,30,61,163,165,7,7,9,9,7.0,524,534,89385,198273,225417,7449,17530,20781
Ancud,11,11,34,53,2002,2002,2010,2012,132,274,356,399,14,35,58,59,14,21,8,8,6.1,465,474,21016,95406,122896,1911,10824,14083
Vina Del Mar,9,9,168,242,2011,2011,2009,2009,293,422,472,452,50,59,74,81,41,68,40,45,17.4,1253,1277,74587,254775,279126,8287,40555,53740
Rauco,8,5,3,4,1989,1990,1988,1986,336,658,428,491,49,172,236,231,20,90,135,149,3.6,270,275,13033,37818,49676,1629,4995,7004
Lota,7,1,7,9,1996,1996,1996,1996,546,546,1113,1113,78,78,228,228,371,371,381,381,11.2,844,860,61672,136801,155529,8810,20735,24580
Arturo Prat,7,7,101,41,1995,1995,1993,1987,624,2715,1614,4712,89,430,1123,2005,8,35,86,159,33.0,2509,2558,271190,665644,775811,38741,97661,115401
Tongoy,7,5,8,12,2002,2004,2002,2003,637,728,242,212,97,1337,315,134,1,16,4,2,10.5,793,808,24959,64543,78862,3566,10085,12355
Juan Fernandez,6,1,8,11,1972,1972,1972,1972,936,936,1853,1853,302,302,2019,2019,106,106,116,116,4.6,343,350,32868,94293,135506,5478,17856,25681
Constitucion,6,6,32,45,1993,1993,1985,1983,470,542,274,313,22,51,79,85,22,25,28,30,3.5,266,271,27622,95324,109616,4604,18230,21966
Llico,4,3,5,5,1982,1983,1992,1994,1219,1243,1573,1776,404,275,374,356,4,7,2,1,5.2,387,394,36886,81819,93020,9221,21702,25727
Bahia Harris,3,3,6,4,1981,1981,1980,1975,611,847,705,1139,72,249,233,516,18,18,23,32,3.7,282,287,72866,182593,259505,24289,66009,92749
Ventanas,3,3,3,4,1996,1996,1997,1997,835,696,751,747,126,101,118,117,8,12,9,9,1.9,140,142,27181,60293,68547,9060,21323,25277
Puerto Percy,3,1,0,0,1989,1989,1989,1989,71,71,136,136,9,9,75,75,18,18,18,18,0.7,56,57,4629,10015,13316,1543,3445,4909
Taltal,3,2,1,0,1991,1990,1991,1991,340,410,448,390,54,57,84,68,2,2,2,2,1.0,73,75,2938,6517,7409,979,2305,2732
Caleta Clarencia,2,1,1,0,2010,2010,2010,2010,2348,2348,2348,2348,1244,1244,1686,1686,20,20,18,18,5.3,395,402,1212,2488,2680,606,1349,1523
Cruz Grande,2,2,6,9,2006,2006,2009,2010,717,717,282,273,60,60,28,25,46,46,6,2,1.5,114,116,7378,26099,32568,3689,14807,19081
Punta Chungo,1,1,11,20,2010,2010,2010,2010,358,358,358,358,29,29,29,29,11,11,11,11,0.8,59,60,8789,17395,21575,8789,28058,32623
Puerto Calderilla,1,1,9,15,2011,2011,2011,2011,292,292,292,292,136,136,136,136,0,0,0,0,3.8,291,297,2837,20779,23958,2837,24502,30120
Tome,1,1,80,154,2004,2004,2004,2004,2004,2004,2004,2004,201,201,201,201,267,267,267,267,7.1,551,562,31315,91920,105007,31315,143097,174883
Guaitecas,1,1,56,18,2005,2005,2005,2005,910,910,910,910,181,181,181,181,2,2,2,2,3.3,256,260,18081,79719,92322,18081,68727,73965
