Domestic by Dep. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Puerto Montt,2099,149,3750,2323,1996,2000,1998,2001,167,409,465,451,23,97,63,85,6,49,33,55,1260.8,96187,98034,7207255,22321256,22742053,3434,9120,11371
Quellon Viejo,1538,66,490,540,2002,1996,2006,2007,124,218,279,298,15,34,195,202,3,11,36,42,352.8,26498,27007,4423374,9846649,11781350,2876,6865,8655
San Antonio,783,339,15991,15502,2009,2009,2010,2011,266,552,454,416,50,99,73,76,31,71,36,47,2064.3,159292,162350,9281254,28132334,33495334,11853,42896,50567
Puerto Chacabuco,741,78,1581,875,1994,1993,1994,1995,282,650,431,437,28,195,114,175,10,50,40,70,585.7,44639,45496,3469257,11800798,10880834,4682,12079,14797
Calbuco,733,59,815,1244,2000,2001,2010,2010,105,404,451,481,17,130,116,102,2,40,57,59,319.3,24347,24815,1365281,3740315,4351379,1863,5838,7068
Puerto Cisnes,674,46,178,167,1997,1993,1996,1994,172,217,216,238,20,39,74,89,11,16,36,43,126.2,9475,9657,2131406,4742539,5974896,3162,7676,10212
Melinka,628,68,183,202,1997,1993,1995,1995,137,323,252,266,16,58,228,269,11,64,119,83,149.5,11228,11444,1285443,3077135,3881859,2047,5249,6952
Quintero,491,177,5217,8481,2009,2010,2010,2010,304,499,462,443,61,112,121,119,37,79,81,86,1697.0,129981,132476,3857676,10958495,12630944,7857,30579,38349
Valparaiso,483,211,5070,6694,2007,2007,2006,2006,276,656,456,485,46,101,219,244,29,105,131,145,887.4,68087,69394,4521468,12600919,15086017,9361,32141,38884
Puerto Angamos,481,237,8705,11700,2009,2010,2012,2011,568,469,542,532,47,74,62,67,40,67,56,61,1177.4,90969,92715,4686799,15476802,18359146,9744,40934,49562
Iquique,463,209,9671,7757,2006,2008,2008,2008,246,646,522,437,40,81,65,60,22,45,34,37,1066.1,82404,83986,5215430,18421452,21129110,11264,41412,47574
San Vicente,404,137,4613,7227,2009,2009,2009,2009,285,490,424,425,47,65,147,153,42,65,93,102,1205.2,93100,94887,3521708,10788814,12557661,8717,33391,40610
Coronel,379,132,4118,5432,2010,2011,2013,2013,269,530,318,345,40,94,142,131,25,69,54,62,697.0,53554,54582,3803388,9584883,11300776,10035,31622,37816
Hualaihue,316,49,74,63,2001,1999,2005,2004,74,289,207,172,9,34,473,366,4,69,107,103,180.5,13551,13812,938961,1939220,2426467,2971,6524,8730
Puerto Quemchi,306,27,98,78,2000,1997,2007,2007,77,147,210,180,13,34,75,91,6,18,16,19,73.4,5513,5619,635947,1316870,1481546,2078,4614,5556
Lirquen,301,105,2996,3643,2009,2010,2011,2011,217,331,291,286,32,45,40,40,21,44,32,36,463.7,35776,36463,1887996,4682775,5742544,6272,20988,25598
Chaiten,296,22,39,30,1998,1998,2002,2002,96,233,125,134,10,47,79,96,3,16,15,17,44.9,3371,3436,1443261,2989367,3801612,4876,11272,15059
Puqueldon,270,31,27,27,2000,1997,2001,2003,81,147,124,122,10,21,37,35,7,43,43,51,33.8,2538,2587,168853,411353,455548,625,1522,1863
Antofagasta,269,134,5331,6730,2009,2010,2009,2009,574,548,563,550,47,108,64,64,35,103,51,54,692.9,53463,54489,3583094,10746154,12700172,13320,49062,58880
Arica,256,106,4236,4560,2009,2009,2010,2010,343,570,573,550,32,100,74,75,23,46,35,37,574.2,44355,45207,3343281,10867915,12402730,13060,46114,54195
