Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Bulk carrier,929,732,169406,288739,2011,2012,2011,2011,2792,4024,5077,5088,273,387,705,706,118,144,183,186,11380.6,881241,898161,78419967,181335244,217045471,84413,297243,354868
Container,802,224,83278,95074,2009,2009,2010,2010,1338,1720,1548,1560,81,110,151,153,25,28,29,29,9111.2,705588,719136,56952044,159197725,182321615,71013,233265,273350
Chemical tanker,395,205,28439,47295,2009,2011,2011,2011,2702,4053,3783,3773,238,357,501,500,48,86,97,97,4627.6,356624,363472,15167903,78777063,91478727,38400,231222,280995
General cargo,293,167,15856,23931,2008,2008,2011,2011,1052,3346,3426,3519,109,324,647,660,55,113,120,120,1868.5,143762,146522,10612220,37314919,54614687,36219,202357,274550
Vehicle,227,148,30708,10237,2007,2008,2008,2007,1341,2321,2281,2270,82,159,374,374,17,24,30,30,1751.3,135656,138261,10366470,45705016,52931066,45667,173581,186812
Cruise,189,47,2539,322,1995,1995,1999,1996,570,678,705,742,46,53,89,99,5,8,16,17,815.3,62636,63839,1433303,6948133,9679665,7584,33487,43297
Oil tanker,145,102,27169,49943,2009,2009,2009,2009,3674,3675,3661,3666,377,403,520,523,52,153,88,88,3853.1,298208,303933,26469628,53083326,61161442,182549,486403,588168
Liquefied gas tanker,96,57,36648,31748,2011,2011,2009,2009,4427,5300,5901,5745,390,411,448,444,34,52,38,41,5163.9,322467,328659,9411055,56979391,49627959,98032,778264,1169613
Refrigerated bulk,75,44,3408,3625,1992,1993,1992,1992,4417,4047,3802,3802,276,328,389,383,65,82,83,81,1377.9,105006,107022,10752609,23494973,26464878,143368,305516,329865
Miscellaneous - fishing,61,37,682,402,1991,1991,1989,1990,1108,4730,4891,4416,210,1028,1648,1810,33,228,704,590,223.6,16825,17148,2823748,6263617,7121098,46291,108944,129146
Service - other,34,14,520,258,2001,2003,1998,2002,1086,2606,2612,2466,136,316,927,993,92,98,119,113,193.5,14670,14952,1802703,3698751,3985628,53021,117980,133216
Ferry-pax only,33,3,77,10,2011,1999,2014,2014,594,492,548,531,88,74,208,210,8,10,19,18,37.1,2787,2841,280783,790786,1024322,8509,23735,31408
Service - tug,25,17,48,77,2006,2003,1977,1974,304,3608,4142,9983,44,394,3714,3994,75,114,271,282,99.7,7488,7632,1961540,4638451,6210635,78462,202602,273547
Ferry-RoPax,25,7,167,14,2006,2007,2004,2005,590,805,682,664,45,330,94,141,10,199,16,51,50.7,3865,3939,113990,270763,340204,4560,9874,10644
Other liquids tankers,2,2,110,153,2015,2015,2014,2015,1953,1953,1964,1953,203,203,259,258,124,124,66,67,12.8,988,1007,78551,224288,483564,39276,136066,219868
Ro-Ro,1,1,2,2,2014,2014,2014,2014,4855,4855,4855,4855,833,833,833,833,167,167,167,167,7.1,536,547,8051,62067,29289,8051,19647,28007
