Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Miscellaneous - fishing,5293,70,2223,2226,2003,1995,1999,2001,113,1946,386,359,14,336,918,848,4,196,273,199,1788.6,134389,136970,15651927,34718992,39471978,2957,6959,8250
General cargo,2357,149,3755,5465,1988,2004,2004,2005,249,495,469,476,38,72,130,130,15,71,88,90,961.8,72966,74367,5328457,16540823,23921324,2261,9319,12981
Container,1344,181,34543,39118,2008,2009,2010,2010,282,386,409,411,29,33,57,58,23,27,32,31,3793.3,293426,299060,24076741,68561269,78839228,17914,60006,70579
Service - tug,1243,60,123,84,2011,2008,2008,2005,132,454,256,279,74,408,746,679,26,90,257,291,588.2,44164,45012,2150336,5084898,6808404,1730,4467,6031
Ferry-RoPax,1178,17,1089,426,2003,2003,1989,1992,263,1319,357,353,28,415,193,348,10,56,22,26,628.4,47221,48127,7716649,17167254,22437441,6551,14497,19236
Chemical tanker,1023,131,9913,16537,2009,2010,2009,2009,336,443,435,435,49,49,139,136,43,55,94,93,3034.5,234453,238955,4948471,26885087,31204046,4837,30586,37267
Bulk carrier,820,383,15263,26632,2011,2011,2010,2010,528,515,618,624,61,83,120,122,71,99,122,122,1550.9,120005,122309,8661651,20604745,25947841,10563,40324,48722
Ro-Ro,761,6,1831,884,1985,1984,1986,1988,277,291,400,420,25,31,45,48,15,15,23,26,683.5,52308,53313,2216129,14645724,7443019,2912,7058,9593
Ferry-pax only,557,3,92,55,2003,2004,2004,2003,100,281,128,126,11,38,18,17,1,8,6,6,84.9,6374,6497,4426726,9063634,11423579,7947,18533,24434
Oil tanker,457,52,3733,6696,2007,2008,2009,2010,261,397,332,332,42,84,147,151,39,69,114,117,2174.8,167789,171010,4949692,8166338,9312888,10831,28434,35020
Cruise,407,31,5290,536,1996,1999,2002,2002,250,533,618,595,24,39,62,76,10,12,17,20,1783.7,136869,139497,2989726,11447161,13314795,7346,25769,28624
Vehicle,191,119,9160,3076,2008,2008,2008,2008,831,833,806,802,58,66,71,71,15,23,26,25,550.0,42604,43422,3114773,13732807,15903990,16308,61986,66710
Refrigerated bulk,96,21,156,167,1981,1993,1990,1990,209,315,389,391,18,25,166,157,17,60,64,64,176.5,13306,13562,494711,1080968,1217609,5153,10982,11857
Liquefied gas tanker,34,14,1430,1317,2013,2010,2010,2010,1402,1083,1101,1040,118,126,159,160,32,42,35,40,224.3,15678,15979,538582,2490399,2334052,15841,108073,155038
Service - other,31,7,66,23,2008,2011,2016,2016,903,5076,1977,1146,167,414,909,607,49,459,200,160,67.1,5040,5137,158752,325725,350989,5121,11395,12867
Other liquids tankers,1,1,14,19,2014,2014,2014,2014,487,487,487,487,460,460,460,460,79,79,79,79,5.8,451,459,9795,27968,60299,9795,33934,54834
