Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Container,112,36,2438,3117,2003,2004,2004,2004,344,1123,1023,1020,40,86,136,136,46,51,51,51,462.9,35749,36435,2843196,10134773,11204292,25386,93017,109873
Bulk carrier,103,97,10621,19316,2009,2009,2010,2010,1366,2454,2937,3017,116,231,527,535,35,112,135,135,749.0,57994,59108,6273551,12913985,15748513,60908,195207,228670
General cargo,51,28,603,807,2000,2006,2008,2007,401,1739,1017,896,50,154,243,233,34,76,110,109,132.9,10194,10390,493027,1627582,2339527,9667,48234,64241
Chemical tanker,50,34,1477,2398,2007,2008,2008,2008,932,1730,1833,1840,114,212,481,481,51,57,33,33,282.3,21756,22174,763965,3991792,4639660,15279,92590,112675
Refrigerated bulk,24,12,76,84,1985,1988,1991,1990,576,1006,997,966,124,227,266,264,120,97,75,78,141.5,10668,10872,250258,546826,615948,10427,22221,23992
Ro-Ro,14,10,432,216,2005,2005,2006,2007,477,576,560,571,33,38,45,46,44,38,40,40,51.1,3955,4031,232276,428012,499034,16591,38995,41394
Miscellaneous - fishing,12,10,90,40,1987,1984,1986,1985,1901,5125,4920,3776,176,1005,2450,2059,21,70,85,93,52.7,3956,4032,283765,629446,715616,23647,55652,65972
Oil tanker,5,5,123,204,2002,2002,2005,2005,976,903,948,948,100,131,112,112,26,37,41,41,20.5,1582,1612,190267,448002,504591,38053,114585,134562
Service - tug,3,3,0,0,1987,1987,1990,1989,476,441,492,366,98,82,85,82,21,28,31,31,0.5,39,40,3272,7738,10360,1091,2816,3803
Vehicle,1,1,29,8,2011,2011,2011,2011,481,481,481,481,33,33,33,33,49,49,49,49,1.9,146,149,7996,35252,40826,7996,30391,32708
