int_arr_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Cockwood,5,5,2003,2003,2000,2004,9002677,8264948,231,276,124,194,2,150
Blairmore,17,16,2005,2005,2010,2010,1266457172,2388124927,572,1465,2565,2760,123,9519
Road Town,64,26,1998,1997,2005,2005,493305286,526438459,141,851,578,1168,116,8854
Newhaven,109,22,2005,2004,2006,2006,844145549,186237243,264,319,493,460,212,15949
Port Clarence,31,27,2002,2002,2006,2006,100881288,135003642,462,591,791,788,49,3702
Rhosneigr,3,3,2007,2007,2006,2006,28915989,45520406,1566,1715,1410,1432,6,494
Campbeltown,36,25,1997,1999,2006,2005,83227918,95201139,264,763,638,806,23,1758
Portnahaven,16,7,2003,2001,2002,2002,9867600,11144342,579,945,728,838,8,623
Crosskirk,3,3,1989,1989,1986,1990,5979178,4951105,1630,2430,1123,822,6,452
Inverness,52,28,2007,2006,2007,2007,137441345,184261090,1043,1093,994,986,70,5288
Portstewart,7,7,1999,1999,2004,2007,26924923,30317890,408,614,367,428,6,453
Shoreham-By-Sea,1,1,2008,2008,2008,2008,75086,55410,226,226,226,226,1,44
Kilroot,53,30,1995,1999,2003,2003,49424709,73001316,122,265,357,364,16,1187
Kinlochbervie,4,4,2002,2002,2011,2012,92912493,146958034,1058,1512,1809,1692,14,1028
Dromore,1,1,2003,2003,2003,2003,137886,155820,294,294,294,294,0,3
Ventnor,23,21,2004,2004,2005,2005,491363160,558467825,257,688,698,691,55,4152
Gosport,57,24,2000,2002,2003,2004,567767943,534786007,149,939,433,1047,140,10668
Ballywalter,1,1,2003,2003,2003,2003,264159,298516,563,563,563,563,0,7
Ballyhalbert,1,1,2003,2003,2003,2003,171222,193492,365,365,365,365,0,5
Yapton,7,7,2011,2011,2013,2013,215601408,105066534,370,506,416,368,13,884
Pembrey,6,6,2000,2000,2006,2004,68668122,29886545,495,609,456,414,8,638
Branscombe,2,2,1995,1995,1998,1997,35375798,14949828,810,810,898,880,3,222
Burntisland,28,24,1997,1995,2000,2001,258311833,328041198,717,815,926,945,52,3943
Whitehaven,12,12,2001,2001,2006,2004,48408101,59483130,1258,1197,1113,1179,18,1333
Islandmagee,2,2,2012,2012,2012,2012,194855334,342492487,2834,2834,2665,2588,18,1410
Littlehampton,11,11,2003,2003,2009,2008,352411194,333681548,332,542,690,892,29,2228
Polruan,12,11,2004,2004,2005,2005,16315490,21311480,457,433,445,434,6,421
Cloghan Point/Carrickfergus,11,10,2004,2004,2006,2007,44669187,57533378,752,827,760,842,15,1144
Port Isaac,2,2,2003,2003,2006,2005,19593448,7031748,323,323,427,351,2,124
Thorpeness,41,37,2005,2006,2010,2010,1088638462,1539903074,312,700,770,925,104,7919
Collieston,7,7,2008,2008,2001,2005,16243276,14308370,747,687,643,615,8,612
Kimmeridge,6,6,2007,2007,2013,2014,160674821,284178221,291,1380,377,284,41,3104
Ferrybridge,13,12,1999,2000,2002,2001,46423654,61496072,356,510,163,193,8,578
South Ronaldsay,10,9,2003,2004,2012,2012,117612868,206856377,874,931,837,820,12,901
Greencastle,29,25,2001,2002,2002,2003,92591217,137369235,1004,1205,1118,1114,38,2863
Bembridge,106,79,2004,2006,2007,2008,1001647298,1566589318,213,440,500,904,167,12627
