port_pair,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Gosport - Kilcreggan,2,1,2004,2004,2004,2004,51033203,78072462,3021,3021,3021,3021,14,1064
Rosemarkie - Inverness,1,1,2010,2010,2010,2010,59793,78510,25,25,25,25,0,4
Thames - Eastham,1,1,2004,2004,2004,2004,2699125,3311960,663,663,663,663,1,95
Belfast - Dulas Bay,5,5,1999,1999,2000,2001,3860095,4465262,190,224,191,193,4,324
Belfast - Pentraeth,1,1,2004,2004,2004,2004,612057,751024,150,150,150,150,0,26
Pentraeth - Eastham,5,5,2008,2008,2006,2006,3305878,4700481,69,125,123,129,2,136
Tilbury - Eastham,3,3,2001,2001,2001,2000,8477796,12329385,670,701,699,701,5,368
Immingham - Steynton,6,6,2010,2010,2012,2011,70523462,100308429,683,727,715,719,16,1231
Dulas Bay - Porth Colmon,1,1,2001,2001,2001,2001,173019,246502,58,58,58,58,0,3
Teignmouth - Glasgow,2,2,2003,2003,2003,2003,2623205,3778430,479,479,479,479,1,65
Glasgow - Garrabost,2,2,1999,1999,1999,1999,1522950,2176808,306,306,306,306,0,31
"Tranmere - Saint Margaret'S Hope, South Ronaldsay",1,1,2005,2005,2005,2005,62672705,112366861,988,988,988,988,69,5211
Berwick-Upon-Tweed - Kings Lynn,1,1,2008,2008,2008,2008,532738,789000,217,217,217,217,0,11
Kings Lynn - Whitstable,4,4,2002,2002,2004,2004,1489594,2217664,181,174,178,177,1,41
Erith - Howdon,2,2,2003,2003,2000,2000,4614115,6525817,451,451,514,510,1,104
Howdon - Whitstable,1,1,2008,2008,2008,2008,696141,1031004,284,284,284,284,0,18
Sheerness - Isle Of Grain,60,4,2008,2010,2011,2010,6043403,3783990,138,145,226,220,27,2014
Steynton - Holyhead,2,2,1998,1998,1988,1988,5570178,886813,126,126,142,142,1,100
Dungeness - Saint Catherine'S Point,1,1,1985,1985,1985,1985,41584,39107,130,130,130,130,0,9
Saint Catherine'S Point - Peacehaven,1,1,1985,1985,1985,1985,30624,28800,96,96,96,96,0,5
Saint Leonards-On-Sea - Ferrybridge,2,2,1984,1984,1984,1984,174639,166407,277,277,278,277,0,33
Scapa Bay - Burray,1,1,2003,2003,2003,2003,5967921,10926073,74,74,74,74,23,1698
"Saint Combs And Charleston - Saint Margaret'S Hope, South Ronaldsay",1,1,2003,2003,2003,2003,7370480,13493879,91,91,91,91,13,961
"Saint Margaret'S Hope, South Ronaldsay - Ham Voe, Foula",1,1,2003,2003,2003,2003,47099430,86229670,580,580,580,580,3,206
"Maryfield, Bressay - North Cove",1,1,2003,2003,2003,2003,56761318,103918661,700,700,700,700,4,298
Tranmere - Grutness,1,1,2003,2003,2003,2003,73101605,133834470,901,901,901,901,4,318
North Ronaldsay - Lowestoft,1,1,2003,2003,2003,2003,34868031,63836415,430,430,430,430,2,141
North Ronaldsay - North Cove,1,1,2003,2003,2003,2003,39526613,72365352,487,487,487,487,3,191
Loch Long - Garrabost,1,1,2003,2003,2003,2003,29230130,53514543,360,360,360,360,8,614
Steynton - Padstow,1,1,2006,2006,2006,2006,5979232,10493475,142,142,142,142,1,72
Clydebank - Eastham,1,1,2004,2004,2004,2004,2692237,4101302,233,233,233,233,1,49
Scapa Bay - Skerray,2,2,1996,1996,1994,1999,7592312,9301266,713,713,120,83,3,192
Immingham - Macduff,1,1,2001,2001,2001,2001,49584043,84989870,786,786,786,786,4,291
Sullom Voe - Grutness,1,1,2001,2001,2001,2001,70745921,121262532,1122,1122,1122,1122,7,503
"Grutness - Saint Margaret'S Hope, South Ronaldsay",1,1,2001,2001,2001,2001,6185303,10601961,98,98,98,98,5,410
"Saint Margaret'S Hope, South Ronaldsay - Wick",1,1,2001,2001,2001,2001,7446771,12764189,118,118,118,118,3,237
Lossiemouth - Portsoy,1,1,2001,2001,2001,2001,18986550,32544026,301,301,301,301,1,101
Amlwch - South Ronaldsay,1,1,2001,2001,2001,2001,40888574,70085340,648,648,648,648,3,229
Houton - Fairisle,2,2,2001,2001,2001,2001,71926758,125034079,592,592,605,600,8,636
Creeksea - Gunness,1,1,1992,1992,1992,1992,587997,897861,240,240,240,240,0,18
Montrose - Belfast,1,1,1992,1992,1992,1992,1261119,1925707,516,516,516,516,0,32
Walton-On-The-Naze - Creeksea,3,3,1999,1999,2000,2001,1730431,2865502,156,191,197,209,1,88
Creeksea - Withernsea,2,2,2002,2002,2007,2007,1953916,2929615,387,387,391,389,1,43
Immingham - Goole,7,7,1998,1998,1999,1999,991401,1450093,53,62,62,63,0,31
Creeksea - North Queensferry,1,1,1992,1992,1992,1992,948895,1448947,388,388,388,388,0,22
Catterline - Withernsea,1,1,2006,2006,2006,2006,2027531,3140039,579,579,579,579,1,55
Aberdeen - Tees,7,4,2012,2011,2013,2013,42502816,50123527,1506,1501,1724,1736,29,2215
Dagenham - Harwich,1,1,2006,2006,2006,2006,1250142,1936095,357,357,357,357,1,42
Aberdeen - Little Oakley,2,1,2006,2006,2006,2006,2745385,4251778,392,392,392,392,2,133
Immingham - Lossiemouth,6,3,2010,2008,2009,2009,6018297,9138154,454,448,446,446,3,251
Lossiemouth - Sunderland,1,1,2006,2006,2006,2006,1744884,2702302,498,498,498,498,2,131
Dover - Peacehaven,1,1,1974,1974,1974,1974,24097,14308,108,108,108,108,0,23
Peacehaven - Bembridge,1,1,1974,1974,1974,1974,7125,4230,32,32,32,32,0,1
Bembridge - Swanage,1,1,1974,1974,1974,1974,6523,3873,29,29,29,29,0,1
Swanage - Portloe,1,1,1974,1974,1974,1974,52664,31269,235,235,235,235,0,7
Tees - Whitehills,1,1,2003,2003,2003,2003,893913,1234906,398,398,398,398,1,38
Whitehills - Peterhead,2,1,2003,2003,2003,2003,1429762,1975162,319,319,319,319,1,56
Shoreham - Plymouth,6,5,1994,1997,1995,1999,1791064,1769478,759,647,299,237,4,293
Portscatho - Porthoustock,2,2,1990,1990,1998,1999,487088,590531,55,55,66,85,0,35
Saint Catherine'S Point - Fawley,1,1,2004,2004,2004,2004,5104158,9089116,88,88,88,88,6,470
Boston - Thamesport,1,1,1989,1989,1989,1989,251288,333000,192,192,192,192,0,9
Portland Uk - Chideock,1,1,2010,2010,2010,2010,2040126,3256177,101,101,101,101,0,19
Whitehills - Invergordon,6,2,1980,1982,1978,1980,5014472,1099977,575,505,465,275,2,169
Pennan - Invergordon,1,1,1987,1987,1987,1987,933718,529107,331,331,331,331,0,24
Staxigoe - Nairn,9,4,2003,2004,2010,2010,9364923,5907523,56,249,238,236,3,214
Whitehills - Nairn,2,1,1987,1987,1987,1987,1007953,571173,179,179,179,179,0,33
Felixstowe - Sheerness,6,3,2007,2009,2012,2012,2364828,1529385,396,1828,1042,1066,12,904
Clydebank - Loch Long,1,1,2006,2006,2006,2006,2815140,3950395,236,236,236,236,1,98
Cardiff - Rosyth,1,1,2006,2006,2006,2006,14825573,20804248,1242,1242,1242,1242,3,245
Rosyth - Charlestown,3,2,2005,2006,2005,2005,4431154,5760940,147,158,162,160,1,94
Charlestown - Orford,1,1,2006,2006,2006,2006,4971843,6976827,417,417,417,417,2,120
Beadnell - West Wemyss,1,1,2006,2006,2006,2006,1249626,1753560,105,105,105,105,1,108
West Wemyss - Dalgety Bay,1,1,2006,2006,2006,2006,3718803,5218476,312,312,312,312,1,60
Dalgety Bay - Eastham,1,1,2006,2006,2006,2006,11665599,16369958,977,977,977,977,3,242
Millport - Wemyss Bay,1,1,2006,2006,2006,2006,2181029,3060568,183,183,183,183,0,32
Wemyss Bay - Belfast,1,1,2006,2006,2006,2006,1649025,2314024,138,138,138,138,1,67
Teesport - Pettycur,1,1,2006,2006,2006,2006,3720720,5221166,312,312,312,312,1,112
Pettycur - Aberdour,1,1,2006,2006,2006,2006,2001500,2808640,168,168,168,168,1,39
Aberdour - Rosyth,1,1,2006,2006,2006,2006,3079230,4320984,258,258,258,258,1,59
Brodick - Finnart,7,5,2005,2005,2004,2003,9801623,16401963,53,70,65,66,11,817
Seaford - Selsey,3,3,1991,1991,1996,1996,8615475,8340026,45,413,804,705,2,150
Purfleet - Runcorn,1,1,2009,2009,2009,2009,2695314,4107370,674,674,674,674,1,94
Saint Mawes - Liverpool Bay Terminal,1,1,2009,2009,2009,2009,1245758,1898402,312,312,312,312,1,71
Newlyn - Hope Cove,2,1,1981,1981,1981,1981,114852,59290,319,319,319,319,0,36
Newlyn - Newton Ferrers,6,2,1977,1975,1978,1977,712228,419850,560,583,694,682,4,314
Newlyn - Cawsand,2,1,1981,1981,1981,1981,73295,37837,204,204,204,204,0,33
Dunbar - Crail,1,1,2018,2018,2018,2018,1162455,671370,111,111,111,111,0,35
Crail - Largo,2,1,2018,2018,2018,2018,1354503,782287,64,64,64,64,2,121
Crail - Burntisland,2,2,2015,2015,2015,2014,1125746,740241,74,74,67,70,1,69
Upton - Grangemouth,2,2,2002,2002,2005,2005,12246490,18120749,698,698,725,729,6,482
Eyemouth - Crail,1,1,1997,1997,1997,1997,140761,187950,26,26,26,26,1,45
Rhosneigr - Ellesmere,1,1,2004,2004,2004,2004,1922162,2962814,215,215,215,215,1,78
Southampton - Wickham,1,1,2009,2009,2009,2009,618007,510464,368,368,368,368,1,68
Wickham - Dartford,1,1,2009,2009,2009,2009,3324454,2745943,1981,1981,1981,1981,5,363
Dartford - Gravesend,1,1,2009,2009,2009,2009,404901,334442,241,241,241,241,1,45
Southend-On-Sea - Burnham On Crouch,1,1,2009,2009,2009,2009,319659,264033,190,190,190,190,0,35
Burnham On Crouch - Milton,1,1,2009,2009,2009,2009,16259988,13430479,9690,9690,9690,9690,24,1777
Milton - Grovehurst Jetty/Sittingbourne,1,1,2009,2009,2009,2009,703250,580873,419,419,419,419,1,77
Grovehurst Jetty/Sittingbourne - Worthing,1,1,2009,2009,2009,2009,1406500,1161745,838,838,838,838,2,154
Thundersley - Brighstone,1,1,2009,2009,2009,2009,17000154,14041843,10131,10131,10131,10131,20,1466
Brighstone - Southwick,1,1,2009,2009,2009,2009,657776,543312,392,392,392,392,1,51
Southwick - Littlebourne,1,1,2009,2009,2009,2009,707109,584060,421,421,421,421,1,54
Littlebourne - Dungeness,1,1,2009,2009,2009,2009,3411877,2818154,2033,2033,2033,2033,4,285
Dover - West Grinstead,1,1,2009,2009,2009,2009,5301138,4378651,3159,3159,3159,3159,7,557
West Grinstead - Milton,1,1,2009,2009,2009,2009,729930,602910,435,435,435,435,1,70
Milton - Folkestone,1,1,2009,2009,2009,2009,1718440,1419403,1024,1024,1024,1024,2,157
Folkestone - Saint Marys Bay,1,1,2009,2009,2009,2009,337949,279140,201,201,201,201,0,29
Saint Marys Bay - Bexhill,1,1,2009,2009,2009,2009,604751,499514,360,360,360,360,1,53
Bexhill - Littlehampton,1,1,2009,2009,2009,2009,1084995,896188,647,647,647,647,1,94
Littlehampton - Bosham,1,1,2009,2009,2009,2009,409096,337907,244,244,244,244,0,36
Bosham - Cowes,1,1,2009,2009,2009,2009,515817,426056,307,307,307,307,1,45
Swanage - Beaulieu,1,1,2009,2009,2009,2009,620860,512820,370,370,370,370,1,59
Beaulieu - Erith,1,1,2009,2009,2009,2009,2185427,1805126,1302,1302,1302,1302,3,205
Erith - West Mersea,1,1,2009,2009,2009,2009,993376,820512,592,592,592,592,1,93
West Mersea - Great Oakley,1,1,2009,2009,2009,2009,322847,266666,192,192,192,192,0,30
Great Oakley - Southampton,1,1,2009,2009,2009,2009,4432269,3660980,2641,2641,2641,2641,6,430
