int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Offshore,1952,517,2007,2006,2009,2009,6289245065,5381391060,332,1042,726,675,3614,269468
General cargo,11734,1791,2001,2003,2005,2005,39033084843,54731751980,568,1060,993,992,10278,778721
Service - tug,875,361,2004,2003,2008,2007,1160190353,838239791,351,674,739,764,994,74704
Oil tanker,1895,693,2008,2009,2009,2009,150008027791,272589064038,688,2144,1612,1628,17413,1331540
Container,6893,818,2006,2008,2012,2011,416794834663,440864852315,353,1162,1401,1360,44273,3400631
Vehicle,2809,426,2003,2007,2008,2007,85230982728,28619014981,330,793,793,781,6193,470340
Chemical tanker,5414,1015,2006,2008,2009,2009,54962127617,87488314183,436,1180,1041,1075,13380,1014872
Bulk carrier,1831,1076,2006,2010,2011,2011,109933425323,196030252334,973,2273,2149,2177,9891,759584
Service - other,943,277,2000,1998,2002,2002,2683322346,2863089994,208,1261,547,421,1110,83392
Liquefied gas tanker,1976,250,2007,2009,2012,2012,50212369764,43494994045,508,1648,2221,2031,8410,591458
Ro-Ro,8331,141,2004,2004,2009,2008,63943650472,31297925088,140,520,316,345,11294,853866
Miscellaneous - fishing,1825,480,1997,1997,1998,1998,1989294494,1573860469,456,1074,1078,1085,1604,120503
Cruise,1131,124,1997,1995,2004,2001,48247772825,4967130708,513,472,638,652,10574,806298
Refrigerated bulk,297,85,1998,1996,2000,2000,9974906503,10854635475,3878,2579,3661,3734,3950,302099
Ferry-pax only,34,21,1969,1980,1965,1956,34285555,6049295,284,2003,2068,1528,54,4121
Ferry-RoPax,5307,115,1999,2000,2000,2000,57300988594,11520527683,132,1588,357,346,11987,906535
Yacht,5,5,1962,1962,1961,1934,1202784,899839,383,686,397,298,1,101
Other liquids tankers,15,5,1991,1997,2004,2002,53757889,74013601,658,539,633,637,38,2864
