int_dep_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Dalgety Bay,1,1,2010,2010,2010,2010,2998215,4628158,1223,1223,1223,1223,1,76
Jura,1,1,1992,1992,1992,1992,294278,473144,213,213,213,213,0,8
Par,1,1,1959,1959,1959,1959,130422,105661,1027,1027,1027,1027,1,89
Ballyhalbert,2,2,1992,1992,2002,2003,1298821,1040797,677,677,779,789,4,315
Killyleagh,1,1,1981,1981,1981,1981,128847,61755,762,762,762,762,0,35
North Harris,1,1,1966,1966,1966,1966,378904,543855,690,690,690,690,1,38
Anstruther,1,1,1982,1982,1982,1982,131279,200213,87,87,87,87,0,4
"Point, Island Of Lismore",1,1,2001,2001,2001,2001,8399,10985,17,17,17,17,0,2
St Margaret'S Hope,1,1,2008,2008,2008,2008,80689338,12194862,33875,33875,33875,33875,69,5184
Helmsdale Harbor,3,3,2001,2001,2001,2001,8798989,12182122,1172,1112,1115,1117,3,200
Rothesay,1,1,1964,1964,1964,1964,117512,13354,56,56,56,56,16,1218
Newtown,1,1,2007,2007,2007,2007,3193819,4243103,380,380,380,380,1,88
Plockton,1,1,2010,2010,2010,2010,1745267,2131526,646,646,646,646,1,47
Bracadale,1,1,1998,1998,1998,1998,1506900,2236483,502,502,502,502,1,41
West Loch Tarbert,1,1,1979,1979,1979,1979,363063,339114,212,212,212,212,0,11
Bernera (N Uist),1,1,1990,1990,1990,1990,290051,36497,71,71,71,71,0,14
Corran,1,1,2011,2011,2011,2011,3067753,4049476,1030,1030,1030,1030,1,41
Torridon,1,1,2017,2017,2017,2017,4278291,4487718,997,997,997,997,2,121
Porthmadog,1,1,2017,2017,2017,2017,218453,107913,584,584,584,584,0,7
Barrow On Soar,1,1,2009,2009,2009,2009,2007585,2276246,641,641,641,641,2,122
Upholland,1,1,2009,2009,2009,2009,1047074,1187197,334,334,334,334,1,73
Stourton/Leeds,1,1,2009,2009,2009,2009,210667,238860,67,67,67,67,0,14
Maesycwmmer,1,1,2009,2009,2009,2009,520976,590694,166,166,166,166,0,33
Shoreham-By-Sea,1,1,1997,1997,1997,1997,5917,7788,3,3,3,3,0,1
Killough,1,1,2012,2012,2012,2012,20201,8997,76,76,76,76,0,4
South Harris,1,1,2012,2012,2012,2012,55034930,72077776,1365,1365,1365,1365,12,921
Rudh Re - Red Point,1,1,2003,2003,2003,2003,1119188,1034429,1402,1402,1402,1402,2,152
Voe,1,1,2001,2001,2001,2001,3480704,3107815,303,303,303,303,2,122
Dunure,1,1,2012,2012,2012,2012,84930704,165624602,1046,1046,1046,1046,7,524
Uig,1,1,2001,2001,2001,2001,243738,32714,44,44,44,44,0,12
Dunbar,1,1,1999,1999,1999,1999,1561361,1443257,306,306,306,306,1,82
Dunoon,1,1,2001,2001,2001,2001,1045216,182305,6077,6077,6077,6077,2,170
