int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Offshore,1952,517,2007,2006,2008,2008,6501858952,5803534435,327,1378,751,728,4070,303803
General cargo,11734,1791,2001,2003,2004,2004,35611288504,49340410101,429,896,906,895,8907,675286
Oil tanker,1895,693,2008,2009,2010,2010,219292451690,410146487144,665,2380,2356,2449,19507,1492239
Service - tug,875,361,2004,2003,2008,2008,1092915710,816293829,345,654,696,744,1066,80053
Container,6893,818,2006,2008,2013,2012,390993929495,405393607123,261,1059,1314,1251,38463,2953809
Vehicle,2809,426,2003,2007,2008,2007,189603746132,66357955488,411,1843,1764,1811,12571,966337
Chemical tanker,5414,1015,2006,2008,2009,2009,47159850254,74722456246,384,990,893,918,11587,878618
Bulk carrier,1831,1076,2006,2010,2010,2010,87071282882,156153734961,855,1704,1702,1734,7271,556324
Service - other,944,278,2000,1998,2004,2006,4119468417,5933935686,256,1183,840,872,1466,110488
Liquefied gas tanker,1976,250,2007,2009,2012,2012,38125083993,33746570856,438,1481,1687,1576,6456,450886
Ro-Ro,8331,141,2004,2004,2009,2009,60413201811,29709785860,141,497,298,327,10730,811679
Miscellaneous - fishing,1826,480,1997,1997,1999,1999,2475220829,2024907283,482,1084,1341,1396,1846,138753
Refrigerated bulk,297,85,1998,1996,2000,1999,1887846536,1948229407,368,1090,693,670,978,74066
Cruise,1131,124,1997,1995,2004,2002,48584670199,4949187541,449,505,643,650,11003,839744
Ferry-pax only,35,22,1971,1982,1994,1982,22706024,3920095,194,1557,1340,981,23,1697
Ferry-RoPax,5307,115,1999,2000,2003,2003,52124231755,10110540892,134,3829,325,304,10862,819772
Yacht,5,5,1962,1962,1983,1963,2803122,1967478,462,1188,926,652,7,546
Other liquids tankers,15,5,1991,1997,2008,2008,339771739,431518432,1388,3318,4003,3715,70,5396
