dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Container,58,38,2004,2005,2005,2005,353502019,437750147,127,449,331,357,188,14307
General cargo,27,20,1997,2000,1998,1998,101375690,120568951,283,423,582,530,30,2281
Oil tanker,510,45,1986,2002,1998,1999,1112844133,1945855956,193,308,323,323,505,38225
Service - tug,138,12,2001,1996,2003,2001,46412485,28715300,317,403,601,569,150,11263
Refrigerated bulk,16,7,2008,2005,2007,2006,29604419,31444654,253,628,461,470,97,7318
Bulk carrier,7,4,1990,1998,1988,1989,11765593,17728960,238,183,144,131,4,283
Liquefied gas tanker,18,10,2004,2007,1992,1993,231028324,262716878,183,413,528,520,84,6432
Miscellaneous - fishing,98,18,1997,1990,1992,1990,20392654,18866592,779,1492,1396,1257,127,9518
Service - other,17,3,1984,1987,1999,1995,7662186,3394390,202,407,618,455,19,1432
Chemical tanker,137,25,2008,2006,2007,2007,284463932,411731036,163,172,220,218,189,14303
Cruise,3,3,1985,1985,1983,1986,632729,164136,104,208,117,153,1,99
Ferry-RoPax,11,4,1996,1994,2004,1998,166539030,35959665,841,1903,1639,1059,76,5719
Offshore,45,10,1988,2006,2008,2008,19965879,18582018,81,352,301,324,51,3866
Ferry-pax only,6,1,2010,2010,2010,2010,664968,114453,115,115,341,341,5,358
