int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,887,700,2007,2009,2010,2010,71724726510,125693638043,1460,2657,2794,2811,6326,488849
Oil tanker,1044,569,2007,2008,2008,2008,93714501668,173611628945,809,1858,1665,1680,9908,765896
Chemical tanker,1005,472,2007,2008,2008,2008,20120054006,32573698201,735,1195,1029,1037,4038,311409
Container,2084,384,2006,2007,2010,2010,121305125904,132799883025,722,1196,1187,1172,13236,1021882
General cargo,1107,526,1998,2000,2002,2003,10866939608,13933180820,720,1369,1571,1567,2188,167495
Vehicle,52,27,2005,2005,2008,2008,1566223905,497188696,575,600,712,720,99,7656
Cruise,303,87,2003,1999,2008,2007,12167759802,1131614827,516,504,565,553,2346,181564
Offshore,239,59,2007,2006,2002,1995,1784028651,1884850759,221,1332,1226,1291,541,40913
Liquefied gas tanker,350,161,2008,2009,2010,2010,32844933936,29116833032,918,2473,2661,2572,4240,298593
Service - tug,181,73,2001,1998,2003,2002,156997932,139574976,257,1065,538,545,191,14367
Refrigerated bulk,38,30,2000,1998,1995,1995,1402195920,1515774077,1168,4623,6326,6272,581,44286
Ro-Ro,296,34,2006,2002,2007,2006,4763887624,2162876705,689,1168,646,673,868,67217
Service - other,55,38,1999,2002,2012,2012,1490490879,2880857313,1795,2360,2395,2357,261,19876
Ferry-RoPax,144,19,1997,1994,1998,1996,2845073470,640427457,605,3824,1090,714,1043,79195
Miscellaneous - fishing,76,40,1989,1993,2000,1996,48594996,33940288,629,2459,1781,1543,123,9215
Ferry-pax only,5,4,2007,2009,1999,1999,4109212,477610,364,352,385,378,2,178
