int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,887,700,2007,2009,2011,2011,58687699865,103141715705,1068,2147,2286,2307,5142,397283
Chemical tanker,1005,472,2007,2008,2009,2008,23044466099,37315981069,750,1352,1178,1187,3935,303807
General cargo,1107,526,1998,2000,2005,2005,8740824486,11080805772,697,1209,1264,1246,1787,137006
Oil tanker,1044,569,2007,2008,2009,2009,70431112353,129392342891,746,1390,1252,1252,6650,513690
Container,2084,384,2006,2007,2010,2010,201249317842,217144408875,801,1507,1970,1916,21075,1628620
Cruise,303,87,2003,1999,2004,2003,9980698731,1023129013,455,599,463,500,2214,171416
Liquefied gas tanker,350,161,2008,2009,2010,2010,33890574537,29402214409,757,2190,2745,2598,4199,296290
Vehicle,52,27,2005,2005,2008,2008,1976089907,628117999,811,955,899,910,156,12096
Service - tug,181,73,2001,1998,2005,2004,205936894,179398863,443,1744,705,700,246,18451
Offshore,239,59,2007,2006,2007,2004,3005187338,3088400597,288,1895,2065,2116,665,49005
Service - other,55,38,1999,2002,2011,2011,866979858,1089550166,1377,2516,1393,891,252,19127
Ro-Ro,296,34,2006,2002,2008,2007,4694834347,2093805910,629,906,636,651,870,67364
Ferry-RoPax,144,19,1997,1994,1999,1996,2364533851,653862893,574,1583,906,728,843,64098
Refrigerated bulk,37,29,2000,1999,1997,1997,509816082,571428922,1010,2440,2354,2426,271,20554
Miscellaneous - fishing,76,40,1989,1993,1996,1991,52122044,42340923,500,2388,1910,1925,163,12278
Ferry-pax only,5,4,2007,2009,2004,2007,21797145,4235717,1221,6627,2042,3354,21,1585
