int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Container,8298,911,2007,2008,2013,2013,390773642631,407394706871,301,690,1083,1037,39779,3039962
General cargo,9997,1921,2002,2003,2004,2004,48039411960,66365257666,474,879,1081,1070,10846,822719
Oil tanker,2204,820,2008,2009,2010,2010,269639120276,498081832863,835,2710,2333,2386,26073,1994596
Chemical tanker,8628,1568,2006,2009,2009,2009,139097244971,224949617825,406,1596,1454,1499,28574,2176616
Cruise,346,94,1996,1995,2006,2004,10028111637,1039294814,320,439,445,457,2552,190970
Bulk carrier,2288,1406,2008,2010,2011,2011,194677131978,358860084552,1183,1993,2169,2202,13681,1046869
Refrigerated bulk,548,142,1996,1995,1998,1997,13230094437,14244123485,1526,2441,2803,2840,5528,420917
Offshore,862,320,2004,2003,2008,2007,4136534937,3393278561,424,1140,953,935,2230,167831
Service - tug,1481,326,2002,2003,2008,2007,719486733,530471850,175,627,836,853,1004,75489
Liquefied gas tanker,2007,280,2007,2009,2013,2012,55757695978,49638666846,425,2219,2403,2175,8450,573211
Miscellaneous - fishing,1458,335,1990,1988,1994,1994,1925895132,1483696283,511,1474,1615,1692,1833,137836
Ferry-pax only,45,14,1952,1959,1988,1986,51744067,13005851,242,951,1666,1038,49,3643
Service - other,1035,297,2000,1999,2007,2007,3598694578,4072611084,253,1165,724,564,1545,116282
Ro-Ro,4096,110,2003,2003,2006,2005,23301778281,11076516072,166,435,241,251,5018,378249
Vehicle,505,215,2005,2007,2005,2005,11069466310,3723208093,240,417,491,497,1066,81150
Other liquids tankers,36,9,2001,2003,2007,2006,2632265437,3164142900,1510,2652,3915,3791,403,31136
Ferry-RoPax,1272,21,2001,1999,2002,2004,12302998312,2228711304,194,1020,220,215,2134,160202
Yacht,3,2,1942,1934,1920,1924,438026,521860,282,668,535,431,0,0
