dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Chemical tanker,1971,784,2006,2008,2008,2008,3714202915,5809136910,95,167,167,167,2939,221800
General cargo,1591,745,2002,2003,2006,2006,1004323102,1335732509,92,109,146,141,472,35438
Bulk carrier,186,158,2008,2008,2010,2010,1525283163,2759608484,101,247,240,244,236,17849
Container,1110,292,2007,2007,2009,2009,1493003517,1727331818,46,62,61,62,794,59658
Miscellaneous - fishing,3794,270,1985,1987,1993,1992,1140214471,715901883,276,985,778,901,2863,215000
Ferry-pax only,35,10,1940,1954,2005,2005,174466556,89997222,75,870,5442,5037,81,6113
Service - tug,5979,218,2004,2004,2006,2005,311127322,196654228,70,164,138,143,996,74748
Service - other,3802,190,1999,1999,2001,2001,2800109305,3450543003,120,532,474,462,1964,147475
Oil tanker,347,208,2008,2008,2010,2010,4313077623,7658128674,69,239,302,298,2032,154535
Liquefied gas tanker,151,82,2007,2008,2010,2010,162943438,173840618,108,151,142,141,181,13557
Refrigerated bulk,54,30,1995,1995,1990,1990,174666276,202959190,116,459,396,429,108,8184
Offshore,911,147,2000,2003,2008,2007,1212637909,1195872347,225,653,401,430,1274,95622
Cruise,43,17,1943,1969,1994,1986,34922689,6072163,78,90,68,83,205,15400
Vehicle,12,12,2010,2010,2010,2010,73219394,23553211,89,111,102,100,6,479
Ro-Ro,56,11,2006,2006,2008,2007,50155999,31764077,77,66,75,74,50,3746
Other liquids tankers,5,3,1996,1994,1999,1998,7504480,9255599,91,91,92,92,9,707
Ferry-RoPax,6,2,2007,2003,2014,2014,438411087,48685528,644,1127,5581,5312,210,15056
Yacht,2,1,1911,1911,1911,1911,33969,36408,56,56,56,56,0,0
