Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
General cargo,97,20,103,149,2002,2001,2007,2008,99,254,292,307,14,30,195,202,13,19,15,15,24.0,1831,1866,275886,807106,1126168,2844,10913,14209
Cruise,90,35,1272,129,1994,1995,2006,2002,181,302,244,252,16,30,30,38,8,13,9,9,285.3,22030,22453,506322,2461237,2827446,5626,24210,26053
Container,69,12,137,172,2007,2007,2007,2006,194,162,193,193,15,15,24,24,8,12,11,11,39.6,3038,3096,285676,816360,924202,4140,12252,14180
Chemical tanker,40,6,51,79,2009,2008,2009,2008,210,338,223,223,22,107,60,58,15,17,19,18,34.9,2642,2693,114739,345635,431013,2868,9575,12004
Ferry-RoPax,37,5,10,1,1978,1984,1995,1987,153,334,424,309,16,18,34,36,8,14,38,31,15.5,1163,1186,48636,105222,139898,1314,2935,4182
Ro-Ro,31,5,30,34,1990,1984,1991,1991,154,202,163,163,22,29,23,24,11,73,17,18,21.2,1630,1661,44177,147975,111814,1425,3382,3916
Refrigerated bulk,29,13,41,45,2000,1998,2000,2000,88,114,108,108,8,10,13,13,5,5,7,7,19.7,1501,1530,134707,294341,331548,4645,9899,10688
Service - tug,27,6,2,2,1976,1981,1983,1983,82,252,264,301,19,199,530,564,24,39,46,43,8.8,662,675,42286,99993,133885,1566,4044,5460
Vehicle,26,15,102,32,2006,2004,2006,2005,91,99,104,104,10,13,17,17,3,8,6,6,8.4,649,662,31922,140743,162995,1228,4667,5022
Liquefied gas tanker,26,2,21,22,2008,2008,2008,2008,153,151,179,179,16,16,23,23,7,7,8,8,11.9,908,926,16472,47723,52702,634,3469,4561
Bulk carrier,22,4,42,64,2013,2003,2012,2012,208,390,323,323,24,48,45,46,32,21,27,27,8.4,646,659,101671,228085,275387,4621,14005,17372
Ferry-pax only,20,2,14,1,1998,2002,2004,2004,243,8300,1470,3037,30,802,1258,1438,6,42,64,72,16.3,1221,1244,114174,232527,292912,5709,13275,17501
Oil tanker,18,5,120,215,1999,2003,2015,2015,193,487,919,947,18,42,125,126,8,10,3,3,15.5,1187,1209,139311,251935,270594,7739,21124,27004
Service - other,1,1,1,0,1980,1980,1980,1980,2812,2812,2812,2812,382,382,382,382,144,144,144,144,2.3,172,175,2534,5199,5602,2534,5638,6366
