dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
General cargo,4480,787,1984,1993,1991,1990,3761755510,5497316229,247,360,378,376,1200,90806
Bulk carrier,1391,243,1993,2003,2002,2002,4770042689,7850982252,237,478,447,452,749,57266
Chemical tanker,2375,234,2002,2006,2006,2006,4085790960,6265021978,230,280,306,306,2034,155058
Ferry-RoPax,8664,157,1994,1996,1997,1995,60101828044,13451103944,308,2227,543,553,24553,1877826
Miscellaneous - fishing,2412,202,1992,1992,1995,1995,483128988,460635779,622,3539,1961,1926,3226,242231
Ferry-pax only,1617,73,1991,1994,1993,1994,950541292,215561243,625,4067,1336,1447,1123,84300
Cruise,1838,91,1996,1999,2001,1999,20806195986,2175544423,180,220,281,276,5281,408287
Service - tug,2398,97,1994,1992,1988,1987,223034242,197185699,102,349,245,270,838,62955
Oil tanker,3272,279,1998,2006,2006,2007,14057659926,24664829271,179,388,429,431,3920,298724
Container,746,176,2004,2003,2004,2004,3387768175,3953696805,257,198,211,213,896,68472
Liquefied gas tanker,572,54,1992,2004,2000,2000,1762166918,1954759696,254,358,356,358,840,63738
Refrigerated bulk,3,2,1990,1990,1989,1989,6598994,7883196,456,329,368,395,3,215
Offshore,110,15,1991,1995,1992,1991,186910778,178571280,252,1107,608,502,164,12299
Other liquids tankers,83,2,1960,1965,1966,1969,20191302,55596790,239,533,601,802,77,5871
Vehicle,49,34,2006,2006,2007,2007,336756944,108027797,99,159,160,155,40,3110
Ro-Ro,1006,15,1974,1987,1976,1977,1079608502,936149517,166,654,221,224,981,74629
Service - other,254,22,1968,1996,1990,1988,102459694,84853158,176,1190,301,201,112,8430
