int_arr_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Myrties Kalymnou,10,10,1994,1994,2001,2002,118425578,202268368,806,1381,1043,1063,14,1099
Kimasi,19,18,1998,1997,2007,2007,279767255,446739712,819,1277,2080,2189,46,3503
Agios Georgios,3,3,1988,1988,1982,1982,9864358,15072635,1341,1070,928,1087,3,221
Agnontas,15,15,1994,1994,2004,2005,112192469,170723110,979,2366,1356,1392,31,2314
Platania,23,22,1994,1994,2002,2002,82027470,128536451,1002,1129,1044,1065,20,1512
Stavros,1,1,2007,2007,2007,2007,7141592,9001733,1087,1087,1087,1087,2,117
Pachi,7,7,2005,2005,2012,2012,408893648,697646672,609,1066,1492,1836,41,3100
Chania,15,14,2001,2001,2005,2009,181942742,214427020,634,824,640,601,40,3050
Kissamos,20,19,1993,1993,2006,2007,329323380,493279084,641,891,1019,1116,64,4857
Khora Sfakion,3,3,1990,1990,1988,1988,5430946,8306594,608,713,793,840,15,1133
Ios,6,6,1996,1996,1998,1998,192076658,344853385,771,1717,3210,3430,19,1478
Antikithira,24,24,2001,2001,2008,2008,579037242,963240538,795,881,921,902,85,6550
Linoperamata Hrakliou,9,9,1994,1994,1998,2000,70125571,114432662,616,1027,814,773,20,1506
Kimi (Kymi),60,46,1997,1996,2003,2003,653874790,923583635,1033,1561,1475,1664,120,9176
Vassiliki,19,18,1993,1992,1995,1995,47707441,66364339,771,958,849,848,19,1467
Corinth,90,81,1996,1996,2000,2000,235502856,353072295,654,1003,1062,1096,71,5420
Hydra,59,57,2003,2003,2006,2005,2339121592,2108181372,778,2485,1489,1179,276,21199
Antirio,22,18,1992,1993,1990,2001,664345015,434927005,1373,3114,5539,2973,151,11591
Elaiokhoria,4,4,2003,2003,2004,2004,173104498,276510978,1739,1929,2468,2457,24,1836
Milos,30,29,2002,2001,2008,2009,407062332,550430288,635,1018,799,851,51,3907
Skyros,26,26,1996,1996,2000,2000,126315505,185625765,767,944,605,583,27,2058
Gythio,34,34,1997,1997,2002,2003,292835886,467219161,680,891,989,1041,46,3559
Thira,39,23,2000,2000,2011,2015,2653338059,1525415791,637,846,1224,2567,410,31763
Galaxidi,4,4,1994,1994,2002,2002,19750418,32050052,760,824,1178,1207,4,280
Drepano,70,49,1999,2002,2000,2006,1146857182,1493131551,847,1529,1550,1258,201,15461
Katakolo,61,39,2003,2002,2005,2005,2696314381,1375953597,597,965,811,1534,486,34776
