Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
General cargo,1625,633,12147,16631,2001,2001,2006,2006,788,1245,1244,1266,80,131,217,222,50,77,94,97,2818.6,215602,219742,19993640,60538516,85586514,12304,50441,66905
Container,1259,128,10712,13448,2003,2003,2004,2004,530,770,734,724,42,63,86,85,68,76,81,82,3319.0,253026,257884,14928086,51600118,58690902,11857,43676,52381
Bulk carrier,747,554,36497,61371,2008,2008,2009,2009,1390,1969,1946,1960,124,182,343,348,142,181,189,191,3870.2,298883,304621,23558873,53925477,71539530,31538,116914,142216
Liquefied gas tanker,644,82,30706,29206,2006,2007,2006,2005,794,1315,1199,1217,75,121,208,206,27,33,63,63,4214.6,298298,304026,10197955,53735588,48517287,15835,116011,170297
Ferry-RoPax,571,15,5315,911,1990,1994,1996,1996,228,303,432,434,17,18,57,56,8,7,21,21,2019.1,155599,158587,5657018,13989359,17165033,9907,21148,19261
Oil tanker,512,335,30753,56321,2009,2008,2009,2009,792,1228,1204,1207,90,146,252,254,29,35,37,37,2844.0,219872,224093,28693240,54983253,63122467,56041,142808,176899
Chemical tanker,494,316,12600,20273,2007,2008,2009,2009,900,1375,1407,1418,81,129,217,220,45,71,83,83,2298.5,177029,180428,6350519,34087412,39899547,12855,80430,98845
Ro-Ro,211,18,984,693,1989,1994,1992,1993,505,1036,635,650,43,97,86,90,28,52,39,42,329.3,25250,25735,1352652,7561028,4193031,6411,15436,20023
Refrigerated bulk,42,31,852,957,1993,1993,1993,1993,1892,2782,2903,2915,140,204,296,297,136,138,148,147,440.9,33532,34175,2840171,6205912,6990377,67623,144104,155589
Vehicle,41,26,1582,516,2006,2009,2010,2009,811,922,901,908,41,59,80,82,13,12,13,13,110.3,8519,8682,523000,2305868,2670430,12756,48486,52181
Service - tug,23,22,30,19,1999,2000,2011,2011,821,1644,2607,2546,135,307,476,514,56,395,502,493,56.3,4229,4310,479013,1132721,1516652,20827,53778,72610
Miscellaneous - fishing,18,12,8,5,1998,1996,1987,1991,560,856,849,788,59,163,149,163,14,26,21,20,10.1,762,776,33853,75093,85373,1881,4426,5247
Service - other,11,11,52,47,2000,2000,1999,1998,744,1019,1151,1284,160,153,169,169,95,189,206,297,22.3,1620,1651,324842,666504,718198,29531,65712,74198
Cruise,4,3,64,7,2016,2016,2016,2016,337,337,337,337,22,22,22,22,7,7,7,7,12.1,934,952,17156,142006,189375,4289,29622,35217
Ferry-pax only,2,2,2,0,1997,1997,1992,1992,4576,4576,3410,3265,35,35,49,49,188,188,350,348,4.7,354,361,41097,83697,105433,20548,47784,62995
