Int. Arr. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Spain,2208,705,18496,23817,2000,2004,2004,2006,385,701,553,628,33,82,94,103,46,90,77,84,4734.6,360918,367847,19462789,58923420,68267264,8815,30966,38453
France,808,293,16763,19468,2002,2005,2006,2007,566,1184,865,1037,49,110,125,144,28,101,87,107,3009.3,228181,232562,12645349,38055540,44969936,15650,57824,72585
Italy,553,295,8547,12149,2004,2003,2007,2007,768,947,860,907,68,101,115,125,37,76,50,51,1305.0,99018,100919,8143465,21704125,25411730,14726,54182,69772
Turkey,435,237,16536,18347,2002,2001,2004,2004,1530,1547,1662,1667,132,154,164,166,46,94,102,109,2487.0,181863,185354,10003911,40698967,44354103,22997,115141,158838
Malta,434,195,5882,8640,2003,2004,2005,2005,666,751,773,776,59,83,101,107,47,81,68,65,1178.6,90304,92038,6545147,20464588,23902478,15081,54555,67327
Gibraltar,330,294,7140,12149,2008,2008,2008,2008,605,709,695,698,48,64,94,95,56,127,133,135,955.6,73784,75201,5816991,13265665,16560376,17627,57683,71133
Morocco,212,135,1839,2674,2004,2005,2006,2006,527,713,628,637,52,100,131,140,54,80,76,73,447.9,34247,34904,1906043,6037115,7164470,8991,35615,45488
Tunisia,175,127,1516,1894,2001,2002,2003,2004,541,665,746,811,49,68,115,132,23,47,41,47,284.4,21846,22265,1665677,4880258,5880338,9518,34015,41705
Greece,168,115,4532,6020,2000,2000,2000,2001,1227,1283,1315,1326,112,129,145,146,50,80,67,68,703.5,52175,53176,3758781,12033809,13969909,22374,88869,116182
Portugal,84,68,1585,2471,2005,2004,2008,2008,894,1008,928,919,79,99,101,103,48,78,74,76,230.2,17396,17730,1456400,3876718,4598478,17338,60629,78007
Netherlands,76,58,4697,7704,2004,2005,2007,2007,1892,1960,2002,2019,158,190,222,229,45,83,52,50,594.2,45166,46033,4124574,10025307,11327046,54271,164128,202911
Egypt,61,40,2657,3667,2005,2005,2005,2005,1691,1660,1780,1762,157,189,206,207,49,95,74,81,392.2,30029,30606,1451642,5625224,6238425,23797,129779,171439
Slovenia,58,22,764,725,2005,2006,2006,2006,1354,1470,1405,1432,130,126,128,142,60,70,60,84,126.1,9709,9895,1147426,3485741,4717632,19783,77101,96923
Belgium,53,38,3030,4814,2007,2006,2007,2007,1893,2034,1885,1877,167,184,177,179,27,58,40,40,283.9,21789,22207,2116784,5220515,6401488,39939,131557,167421
Sweden,44,35,1172,1835,2009,2009,2008,2008,2703,2710,2555,2525,240,249,258,261,45,56,53,50,225.6,17209,17539,1822054,5332957,7179461,41410,163482,208705
Denmark,40,36,1100,1681,2009,2009,2009,2009,2475,2491,2458,2454,212,214,228,230,49,90,122,128,210.2,16070,16378,1286856,4126265,5441793,32171,136917,172519
United Kingdom of Great Britain and Northern Ireland,38,37,1924,2792,2007,2007,2009,2009,1710,1665,1669,1652,152,161,158,165,34,66,39,40,221.7,16303,16616,1310323,3811457,4293571,34482,130181,173379
Libya,37,23,488,785,1999,1998,2008,2009,858,916,1076,1106,78,90,99,102,29,51,38,37,81.7,6284,6405,530499,1554162,1967737,14338,53646,67296
