Domestic by Dep. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Alger,450,154,2296,3190,2002,2004,2004,2004,250,400,411,418,23,57,60,59,30,81,60,60,588.1,45010,45874,2233128,8253359,9207244,4963,21066,26329
Skikda,277,113,1614,2238,2004,2004,2005,2005,284,352,383,385,22,75,60,63,45,68,92,95,518.1,39454,40211,1444214,5458336,6180691,5214,21748,27240
Bejaia,228,126,928,1371,2004,2003,2006,2007,281,382,374,373,24,57,92,88,30,57,61,61,220.9,16882,17206,1245295,3636971,4346403,5462,19031,23705
Arzew,192,86,1695,2192,2002,2006,2003,2004,290,669,353,378,41,160,178,172,52,113,116,119,539.3,40913,41699,1115184,3827094,4195509,5808,27752,36921
Mostaganem,173,122,1016,1407,2004,2006,2005,2006,249,336,295,296,37,64,81,87,28,61,59,57,224.3,17125,17454,797788,2719238,2878816,4611,19557,25855
Collo,142,75,801,1182,2004,2003,2006,2007,332,414,452,449,22,42,76,82,33,69,65,64,183.6,14087,14357,947722,3195423,3713988,6674,24954,30972
Annaba,138,81,460,546,2001,2002,2004,2004,289,448,349,367,23,137,86,77,28,63,88,89,150.0,11398,11617,732073,2258368,2804188,5305,19056,24463
Dellys,113,90,875,1275,2005,2004,2008,2008,361,615,571,565,24,49,98,69,40,90,128,124,188.6,14475,14753,1333071,3617286,4583836,11797,39675,49903
Djen Djen,99,64,409,565,2007,2005,2008,2008,243,356,351,356,15,48,63,64,54,78,93,95,111.1,8467,8629,431486,1356079,1710645,4358,17106,21525
Jijel,81,39,527,758,2006,2004,2010,2011,310,726,432,400,13,46,127,132,35,145,366,198,107.4,8183,8340,1328579,3483770,4445246,16402,48897,63050
Oran,63,50,364,450,2005,2006,2008,2009,382,952,538,532,34,122,92,86,36,68,105,99,96.9,7403,7546,736229,1885556,2477283,11686,36418,46574
Tenes,57,46,184,229,2002,2002,2003,2004,332,427,352,373,24,33,38,38,35,67,75,78,53.4,4065,4143,234657,771068,869659,4117,15917,20967
Oran Dry Port,42,30,157,217,2006,2005,2007,2007,305,458,419,426,23,35,40,41,27,50,80,81,38.4,2948,3004,208697,628556,819287,4969,19510,24607
Cherchell,23,22,115,171,1998,1999,2003,2003,248,387,355,375,16,30,38,39,35,80,125,125,26.7,2052,2091,103067,314858,434979,4481,20339,26249
Bethioua,15,10,140,148,2004,2007,2010,2009,290,477,487,477,21,44,67,69,144,115,67,77,44.4,3281,3344,84474,295597,311391,5632,32453,44249
Rouiba,14,14,78,111,1997,1997,2002,2002,330,442,469,470,20,20,18,19,34,70,121,128,14.9,1149,1171,105274,308256,360085,7520,24667,30264
Ghazaouet,12,8,60,41,1998,2001,1994,2006,288,352,423,332,22,83,63,106,14,37,63,46,16.3,1250,1274,70442,185146,230289,5870,16379,18172
El Kala,8,8,31,37,1996,1996,2004,2004,368,434,429,416,12,32,42,41,44,158,46,52,8.2,628,640,41580,142512,170906,5197,20174,24937
Tipaza,3,3,34,49,1999,1999,1989,1989,775,698,816,826,59,69,44,44,25,43,43,45,4.3,333,339,23740,52525,70755,7913,27711,33819
Beni Saf,2,2,4,5,2006,2006,2001,2001,488,488,601,614,62,62,29,27,26,26,41,42,1.4,106,108,11714,29468,33220,5857,15007,16902
Kherrata,1,1,13,21,1992,1992,1992,1992,962,962,962,962,81,81,81,81,160,160,160,160,1.7,131,134,8750,24291,37752,8750,41223,53428
