Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
General cargo,1652,643,8372,11326,2001,2001,2005,2005,530,859,842,845,58,106,164,166,34,56,63,64,1950.6,149265,152131,13878138,41967873,59470670,8401,34068,45499
Container,1268,129,9342,11785,2003,2003,2004,2004,459,640,635,630,45,63,102,101,25,34,38,38,2506.7,191546,195224,13026855,45441868,51698747,10274,38188,45856
Bulk carrier,756,566,26089,43815,2008,2008,2007,2007,930,1253,1374,1380,122,167,298,300,31,71,98,100,2474.8,191047,194715,15919944,36407547,48212286,21058,77266,94080
Liquefied gas tanker,646,85,32264,30845,2006,2007,2006,2005,779,1632,1255,1280,86,138,195,196,38,61,57,61,4537.2,319246,325375,10549195,56561767,50829045,16330,120813,177880
Ferry-RoPax,570,15,5143,853,1990,1994,1995,1996,226,287,419,407,16,16,29,29,7,55,47,47,1930.0,148614,151467,5296688,13098289,16071685,9292,19836,18066
Oil tanker,499,328,73681,135132,2009,2008,2009,2009,1346,3044,2976,2990,137,308,590,593,34,55,77,77,7495.7,578748,589860,69125305,128153216,150542667,138528,343513,427044
Chemical tanker,497,318,11238,18058,2007,2008,2009,2009,760,1161,1255,1263,101,138,239,241,40,63,62,62,2229.1,171770,175068,5823106,30703034,35949858,11717,71990,88416
Ro-Ro,207,17,844,585,1989,1994,1992,1992,461,861,554,556,45,79,81,86,31,32,38,39,293.0,22436,22867,1175172,6724348,3682323,5677,13681,17858
Refrigerated bulk,44,31,255,293,1993,1993,1993,1993,438,834,844,842,74,89,131,133,22,59,124,119,180.1,13644,13906,867743,1896062,2135735,19721,42026,45376
Vehicle,41,26,2201,719,2006,2009,2011,2011,897,1221,1254,1264,60,80,106,106,13,14,16,16,141.1,10874,11082,728100,3210141,3717670,17759,67500,72645
Miscellaneous - fishing,16,11,8,5,1998,1996,1984,1988,516,708,924,814,42,129,150,132,106,132,180,179,12.0,901,918,32020,71026,80750,2001,4710,5583
Service - tug,15,15,19,11,1992,1992,2007,2007,1158,1483,2139,2003,198,250,429,425,30,257,125,107,22.8,1715,1748,271612,642280,859978,18107,46757,63129
Service - other,13,13,129,109,2003,2003,2008,2009,995,3182,2909,3546,158,961,3117,3500,46,84,42,43,50.0,3690,3761,760532,1560445,1681474,58502,130178,146989
Cruise,4,3,44,4,2016,2016,2016,2016,229,226,228,228,16,15,15,15,8,8,8,8,8.8,680,693,11604,96045,128083,2901,20035,23819
Ferry-pax only,2,2,2,1,1997,1997,2003,2003,3388,3388,4211,4314,758,758,1441,1444,7,7,7,7,4.5,338,344,54300,110587,139305,27150,63136,83234
