Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Container,174,52,1326,1639,2006,2007,2006,2006,324,463,464,471,41,43,58,58,19,28,37,38,312.2,23973,24433,1585452,5770981,6512391,9112,35121,42203
Oil tanker,72,17,129,198,2007,2003,2007,2006,341,606,639,669,30,73,65,66,23,38,145,152,73.6,5595,5703,732395,262241,332398,10172,26910,34257
Chemical tanker,47,14,254,384,2008,2007,2007,2007,350,936,683,687,58,80,105,104,28,49,98,97,90.6,6905,7038,427077,1271222,1516486,9087,30449,36336
General cargo,41,33,153,203,2003,2004,2004,2005,525,830,716,722,61,121,180,178,35,64,65,67,37.2,2831,2886,299037,889989,1253816,7294,28673,37995
Service - tug,25,19,7,6,2016,2015,2016,2016,831,1141,1182,1085,410,911,1568,1411,13,127,179,166,27.8,2084,2124,145386,343794,460322,5815,15017,20275
Bulk carrier,24,23,837,1456,2010,2010,2011,2011,859,1243,1326,1337,92,203,647,642,76,122,157,156,74.1,5740,5850,611119,1282599,1606088,25463,85716,101226
Cruise,14,10,412,41,2006,2006,2004,2004,345,400,433,414,30,30,43,40,30,28,22,23,109.5,8476,8639,120235,742578,884508,8588,46134,51052
Liquefied gas tanker,10,3,6,6,1992,1994,1993,1993,221,283,428,431,12,26,23,22,13,14,93,98,6.4,483,492,4804,13919,15371,480,2630,3459
Refrigerated bulk,3,3,17,19,1993,1993,1995,1995,993,1482,1471,1447,170,154,161,161,192,164,112,115,14.9,1129,1150,56957,124454,140186,18986,40458,43683
Ro-Ro,2,2,10,10,2004,2004,1995,1995,624,624,938,964,66,66,122,122,26,26,42,42,1.9,150,153,11405,24359,25351,5702,13428,14508
Vehicle,1,1,36,13,2005,2005,2005,2005,828,828,828,828,49,49,49,49,18,18,18,18,2.4,189,192,12683,55919,64760,12683,48209,51883
