Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Container,180,53,3131,3919,2006,2008,2007,2007,597,904,1057,1088,45,70,467,484,32,34,43,44,699.9,53885,54919,3702115,13396886,15160064,20567,79384,95564
Oil tanker,79,19,113,174,2007,2004,2008,2007,279,460,487,505,31,44,78,82,26,41,73,75,59.0,4478,4564,597989,255033,310719,7569,20240,25792
Chemical tanker,49,15,327,496,2008,2006,2008,2008,603,978,856,865,56,77,193,194,30,37,35,35,97.2,7433,7575,551092,1619421,1924280,11247,36761,43495
General cargo,46,36,657,827,2003,2005,2003,2003,1226,1924,2381,2286,124,170,299,293,32,64,48,50,135.5,10412,10612,715679,2245118,3191253,15558,69631,92151
Bulk carrier,25,24,1056,1819,2010,2010,2010,2010,1589,1621,1585,1585,129,146,176,176,145,136,110,110,102.1,7903,8054,811561,1671632,2122274,32462,107790,127216
Service - tug,22,18,7,6,2016,2016,2015,2015,402,1518,1259,1177,152,382,1277,1124,50,192,119,112,14.4,1080,1101,144187,340959,456526,6554,16924,22850
Cruise,16,12,408,39,2006,2006,2003,2004,316,368,384,359,26,26,33,32,12,17,17,17,105.4,8166,8323,140126,749056,862083,8758,40789,43455
Liquefied gas tanker,11,4,7,7,1992,1993,1994,1994,408,504,473,474,38,45,47,47,23,42,50,50,6.5,491,500,5645,16354,18060,513,2810,3695
Refrigerated bulk,3,3,45,53,1993,1993,1991,1991,4553,4004,3936,4010,388,558,700,717,9,12,10,10,26.8,2036,2075,157858,344928,388529,52619,112131,121068
Ro-Ro,2,2,17,18,2004,2004,1995,1995,1110,1110,1661,1707,122,122,180,180,114,114,211,212,6.0,466,475,20272,43882,45210,10136,23873,25836
Ferry-pax only,1,1,0,0,1991,1991,1991,1991,335,335,335,335,124,124,124,124,10,10,10,10,0.2,16,16,1185,2414,3040,1185,2756,3633
Ferry-RoPax,1,1,59,7,1966,1966,1966,1966,5978,5978,5978,5978,516,516,516,516,1152,1152,1152,1152,20.6,1548,1578,45274,111960,137376,45274,96643,88021
Vehicle,1,1,54,18,2005,2005,2005,2005,1221,1221,1221,1221,68,68,68,68,9,9,9,9,4.2,322,328,18709,82487,95528,18709,71113,76533
